,summary,severity
144,PDE is breaking all my classpaths on plugin import,major
145,Run-time Workbench not usable,blocker
146,PDE failing to shutdown,major
148,Source lookup confused if same type is defined in different projects,major
149,[launch] NPE running launch config (build I1016),major
150,NPEs on shutdown,critical
151,"Regression: Source code not found when using ""Target Platform""",critical
152,determine source locations from target platform,major
154,'Import plugin' doesn't generate the project classpath,major
155,ACC: plugin.xml is not accessible,major
156,Import binary plugin doesn't set classpath,major
157,Source code locations & classpath variables,major
160,[KeyBindings][Schema editor] Edit accelerators don't work in schema editor,major
162,[Schema editor] Description field does not show overall description initially,major
163,PDE generated builds do not handle JavaDOC correctly,major
164,Imported plugins from product extentions do not update CLASSPATH,major
166,[Schema editor] Cannot save schema description,major
168,Dialog message not easy to understand when closing all editors.,major
170,Import fails: Can't delete an existing fragment,critical
171,NPE trying to launch runtime workbench,major
172,"""Finish"" button enabled in Inport plugin wizard.",minor
175,generated build.xml classpath incorrect,critical
176,Build script generators assume the target location,major
177,API change will break NullMenuManager,critical
178,"RunTime error doing ""hello world"" plugin - NEWBIE",minor
180,Run-time workbench launcher leaves processes,major
181,Unable to run runtime-workbench,critical
182,Linked binary importing aborts when trying to overwrite a .project file,critical
183,Generic version numbers and feature parsing,major
184,[self-hosting] Buildpath should include partially reexported libraries,major
185,NoSuchMethodError when importing plugins,major
186,Regression in Import wizard,critical
187,Changing the target platform does affect runtime workbench,critical
188,JavaElementFilters dialog: remove Hide from filter name,trivial
189,PDE JUnit plugin have org.eclipse.ui as optional prereq [JUnit],major
190,Can't compile imported plugins,major
191,"typo on update site project ""Build"" tab",minor
192,stale text in Import Plug-ins and Fragments dialog,minor
193,Cannot read a 2.0.2 workspace in 2.1.,major
195,pde produces invalid classpath,critical
196,site.xml update.jar builder builds wrong order,critical
197,"PDE feature.xml doesn't recognice ""url"" attribute of <license> tag",critical
199,Question: Can I define choice for attributes?,trivial
200,Spelling mistake in Platform Plug-in Developer Guide,minor
201,Please take a look on Bug #29056,major
202,"Can extension point schema editor support ""included"" file(s)?",major
203,Classpath incorrectly computed for linked binary projects,critical
204,"[Preferences] DBCS:OK botton of ""Preferences"" doesn't work after clicking ""Apply""",major
206,wrong classpath when reimporting external project using linked resources,major
207,Importing plugins without copying misses jars,major
208,[UI] For org.eclipse.pde.doc.user please set the CVS/ASII properties of your doc files appropriately,major
209,Doc generated by schema files fails CHECKPII tests,major
211,Cannot start Runtime Workbench,critical
212,Sync up feature and site editors with Update spec,critical
214,Import External Features wizard does not work,critical
215,Importing 2.0 plug-ins from 2.1 code fails,critical
216,Stackoverflow when I tried to switch target platform,blocker
217,Stack overflow attempting to run Runtime Workbench,critical
218,Switching back to manifest editor loses focus,major
219,ManifestConsistencyChecker fills log,critical
220,Stopping at a breakpoint doesn't open editor,critical
221,Wrong jar found in runtime workbench when resources fragment exists,major
222,Eclipse Application Location ignored launching runtime workbench,major
223,Exception with plugin.xml file of length 0,major
224,The Run-time Workbench Launch Configurations do need an option to set the source lookup path,major
225,Problem markers don't get removed,critical
226,Graphic is disposed error when selecting a new configuration in Run ... dialog,major
227,Attribute 'patch' on 'import' lost on save,major
228,Can't install or update features,major
229,plugin.xml source editor is broken,major
230,Adding depencencies to plugin.xml does not work,major
231,Run-time workbench doesn't load plugins from workspace,critical
232,Exception launching runtime workbench from Debug As... menu,major
234,NPE opening context menu in schema editor,major
235,Reminder: refresh PDE UI artwork,major
236,Importing plugins order of magnitude slower than in M5,major
237,A4: Extensions tree collapses on Save,major
238,F2.6: Site builder leaves files behind in the related projects,major
239,[RC1] A12.13 How do we add the welcome page again ?,trivial
240,A4.12: Package name is not shown in the wizard,minor
241,"""New Required PlugIn"" dialog has buttons outside visible area",minor
242,"can not ""import source"" for sub-project feature",major
243,PDE Plugin project creation generates non-functional code,major
244,Cannot create deployable plugin/fragment,major
245,Export/build plugin never includes plugin.xml and plugin.properties,critical
246,Class cast exception,major
247,VERY slow response in the plugin.xml editor when project has markers,major
248,Importing plugins with specific exports no longer works,major
249,Plugins can be debugged only from default location,major
250,Source lookup takes an extremely long time,critical
251,Leak: Open/Close PluginsView,critical
252,Project references are no longer updated,critical
253,Leak - TargetPlatform preference page,critical
254,Too many exceptions when switching between source and gui pages,critical
255,Unable to selfhost using I030306,critical
256,Manifest builder slow when reacting to Java file changes,major
257,Plug-In crash when assigning application name,critical
258,NPE in schema registry,major
260,NPE from pde view,major
261,Wrong build file generated when $os$ variables are specified,major
262,PDEMultiPageEditor leaks Clipboards,critical
263,Can't debug 2.03 runtime workspace using 2.1RC1,major
264,Debug config window real slow when many plugins,major
265,missing '-',trivial
266,Runtime workbench launch fails silently with JVM 1.4.1 on RC2,critical
267,ClassCastException on TemplateForm,critical
269,Plugin import does not detect host dir when running with -dev bin,major
272,Plugin import corrupts .classpath files,major
274,RC3 creates classpath cycles importing fragments,major
275,RC3 failing to import binary projects properly,critical
276,[self-hosting] PDE always uses binary project when debug,major
277,Plug-In Project Wizard for a multi-page Editor fails on RC3a,major
278,ClassCastException in schema editor,major
279,NPE after inserting error in plugin.xml,critical
280,ClassCastException in EditableSchema when switching pages of schema editor,major
282,[Log] Unbounded growth of .metadata/.log and OutOfMemory at startup,major
283,incomplete listing of non-workspace plugins,major
284,xsd default editor doesn't startup,major
285,Can't generate ant build file,critical
286,Plug-in/extension points disabled by default,minor
287,Importing plug-ins and fragments hangs,critical
288,Deadlock in Eclipse when trying to open feature.xml file,critical
289,Export plugin wizards should filter out projects with no build.properties,major
291,build.xml (ant) javac target does not conform to Compiler compliance level.,major
292,"Eclipse Unusable, many PDE related views/plugins fail load on HP-UX",blocker
293,Duplicate Source location reported for twice the same project,critical
294,"""Updating."" hang for 30 minutes",major
295,Exception when building script for a feature,critical
296,TVT21: English item in the Add Library panel,critical
297,can't load plugins .classpath missing,critical
298,New file plugin wizard file extension matching slightly broken,minor
299,Plug-in import wasted my workspace,critical
300,"Clipped layout on ""Import plugins and fragments"" wizard page",major
301,Generated build.xml does not work,major
303,Cannot set the name of the application in a runtime-workbench configuration,major
304,unable to develop Eclipse after importing plug-ins,blocker
305,PDE log SWT exception,critical
306,Schema parser does not recognise one line html markup,major
308,update classpath doesn't work after change to workspace and runtime,major
309,Validate Edit called multiple times,major
310,Schema validator does not report HTML error,major
311,"plugin.xml-created ant file has dependencies to jarfiles, build.result.folder missing in classpath",minor
313,Warnings/Errors  in schema validation have no associated line numbers,major
314,Changing plugin.xml cause eclipse to crash,major
315,retrieve.xml hard codes tags specified in directory.txt,critical
316,"Schema editor is way too big, so some scroll bars hidden",major
317,SWT source not shipped with Linux-GTK,major
318,Surfacing the bootclasspath variable,minor
319,BaseBuildAction needs to be updated for changes in Ant UI,major
320,Cannot export feature: feature id is not found.,major
321,"Geneated view menu uses ""Additions"" - should be ""additions""",minor
322,Text Editing key bindings broken,major
323,[Properties View] Combo boxes in property sheets do not retain new values,major
324,Export of Deployable Feature Fails in 3.0M2,major
325,Inconsistent wizard plugin wizard choice possible,minor
327,Import Plugins dialog has whitefield on gray background,minor
328,Build.properties: extra keys section should start expanded if not empty,minor
329,Junit Plug-in Test not working for whole project,major
330,Cryptic message about Platform Path,major
331,Build property 'ws' not passed to ant build during plugin build,critical
333,Custom build.xml files are deleted by the export wizard,major
334,Fragments' JAR files are not independent within the same feature,major
335,Import Plugins wizard page has duplicate mnemonics for N [accessibility],major
337,Importing Binaries associates wrong source,major
338,Mnemonic collision new plug-in project wizard,trivial
339,Plug-in import broken with background builds,critical
341,Error Log perspective infinite loops,major
342,Plugin editor incorrectly reformats packages prefixes,major
343,[PDE UI] plugin.xml editor is very-long-running operation!,major
344,PDE fails to attach source to some libraries during plug-in import,major
345,PDE disposes an image it does not own,major
346,Exporting feature containing white spaces in the folder name is not working,major
347,Correct icons were lost after scrolling,major
348,Closing projects makes launch configurations unusable,major
349,Can't build plug-in through update site project,major
350,"NPE running ""Create ant build file"" from context menu",major
351,Error within Debug UI,major
352,The plugin.xml editor should have a field for comments.,minor
353,"Adding utility JARs to a plugin should be easier ""Update Classpath""",major
354,plugin building does not take into account linked folder,major
355,Unable to import swt project as binary plugin project,critical
356,Unable to launch runtime workbench,critical
357,"Export plugins fails when ""Include source code"" enabled",major
358,File>Import...>Import External Plug-ins and Fragments doesn't setup .classpath,critical
359,PDE classpath containers should be on by default,major
360,PDE launcher doesn't set Program Arguments,critical
361,Closing fragment causes compile errors,major
362,Exception in .log: Unable to save configuration file,major
363,Can't create a fragment project,critical
364,feature.xml from a generate.feature not very readable,minor
366,Can't luanch Runtime Instance with any plugins,major
367,You can't launch a 2.0 workspace from a 3.0 eclipse,critical
368,Ctrl+C doesn't copy,major
369,NPE while importing binary projects,critical
370,Manifest source page does not show errors.,major
371,PDE shouldn't reformat my plugin.xml file,critical
372,"When I select ""Create Ant Build file"" I get a fatal error.",critical
373,Plugin import takes a long time in inner workbench,critical
374,NPE in PDE,major
375,3.0M4: Build site does not work,major
376,ClassCastException in ManifestEditor.openWorkspacePlugin,critical
377,Default Ant settings breaks build from PDE generated build.xml,major
378,Cannot build using generated build.xml for simple project,critical
379,ErrorLog view leaks 3 colours and 1 Image,major
380,exsd editor leaks 20 colours,major
381,build.properties editor leaks 7 colours,major
382,NPE during conversion to OSGi bundle,critical
383,Convert to OSGi does not generate the right manifests,major
384,Required plug-in entries support fails after restart,critical
385,ClassCastException launching JUnit plugin tests,critical
386,Plug-in Project Wizard creation of the Project Name,minor
387,pde.core does not compile,major
388,Cannot build without optional plug-ins present,critical
389,Importing binary projects doesn't work....,major
390,Cannot import org.eclipse.jdt.ui as a plug-in,major
391,Can't export primary feature with dependant plugins,major
392,Memory leaks in workspace plugin models,major
393,Checkbox lines should not be full-width of editor for build.properties,minor
394,PluginAttribute.equals does not test value properly,major
395,Export Feature w/2 libraries in plugin fails,critical
396,Launch Eclipse fom Eclipse does not get the worspace plugin content,critical
397,Property Editor action to set objectClass filters out types wanted,minor
398,Target platform preference page does not refresh,minor
399,NPE in PluginModelManager.handleModelsChanged,major
401,"Building feature fails, with empty logs.zip",major
402,Debug options not loaded on Mac,major
403,No source attached,major
404,update class path  should prompt to save the plugin.xml,minor
405,Feature editor ignores description/copyright/license,major
406,importing org.osgi.framework,major
407,Problem building features,critical
408,Internal error when exporting feature,critical
409,NPE while launching JUnit Plug-in test with no UI,blocker
410,New-plugin wizards forget to add ide.jar to dependencies,trivial
411,Missing catalog message for error log view,trivial
412,[Log view] Buttons in the dialog need tooltips,minor
413,[Log view] Buttons in the dialog need tooltips,minor
414,[Log view] Buttons in the dialog need tooltips,minor
415,NPE when trying to start debug workbench,critical
416,NPE when no JRE is installed,major
417,Manifest editor strange slowness behavior on Linux (GTK),major
418,(POSSIBLY) BROKEN: eclipse-2.1+ / runtime workbench / antrunner,major
419,Ordering required plug-in list,minor
420,NPE when building CDT with build I20040209,blocker
421,Build order of fragments in generated build.xml incorrect,major
422,NPE in TargetPlatform.getLocation,major
423,Template generated plugins do not run,critical
424,NPE creating build.xml,major
425,Tracing options could use checkbox table,minor
426,Tracing of org.eclipse.ui keybindings cannot be enabled,major
427,Need way to include schemas accross plug-in boundaries,major
428,PDE Feature build fails (Ant or Export) - feature.xml not in temp dir as expected,major
429,NPE in fragment project creation wizard,minor
430,misleading texts in fragment project creation wizard,minor
431, -> Sample gots a minor error,trivial
432,A specifically set target platform reverts to the host platform after processing an update.,minor
433,export as deployable is too slow,major
434,Classpath updated incorrectly,major
435,[JUnit] cannot launch tests if SDK != workspace contents,major
436,Exception trying to deploy/build plug-in with missing optional prereq,major
437,"SWT ""Argument cannot be null"" exception in launch configuration when specifying a large Plugin Directory in PDE",critical
438,Cannot launch runtime workbench with spaces in workspace path,blocker
440,Cannot run to line/evaluate/set breakpoints/etc in attached source,major
441,Export wizard omits details from PDE Build error,major
442,Highlight current line preference not honored,minor
443,cannot start a plain java application from a plug-in project,major
444,"When items appear in the Error Log view, it pulls focus",major
445,ResourcesPlugin cannot be resolved in generated code,minor
446,Classpaths Not Set Properly In PDE Projects After Loading Team Project Set,critical
447,Illegal argument acception from log view,major
448,Fragments cause build classpath errors,critical
449,NPE during startup,blocker
450,Cannot create new extension using the Finish button,major
451,Log goes in config area then gets blown away by PDE,critical
453,PDE Search for Java classes returns 0 hits,critical
454,Dynamic classpath lost on startup,major
455,New Plug-in Project Wizard creates files with wrong encoding,major
456,Update PDE UI to use the new PDE Build,critical
457,PDE Export fails to export feature,major
458,PDE not loading plugins properly,major
459,Classpath container looses plugins,major
460,org.osgi.framework.BundleActivator cannot be rsolved,major
461,DBCS:DBCS data are displayed as garbage code in plugin.xml,major
462,too many red X's on startup,critical
465,DBCS: bogus at Extention tab view of plugin editor,major
466,DBCS:Error messages in the Err log panel when new a plug-in project with DBCS name.,major
468,[Intro] Button truncation at Samples dialog of Intro,minor
469,Suspicious entries in log after patching,major
470,Side effect after export,major
471,PDE Search is broken,critical
472,The test.release file is not opened in the runtime workbench,major
473,Ant task not reporting detail plugin-in parser error,major
474,Could not deploy plugins,critical
475,Search bug in M8,major
476,Can't export a feature due to temp location not found,major
477,PDE ignores names of generated features,major
480,[rcp-app-export] The assemble script from the packager must support several folders,major
481,Minor Typos,minor
483,Target location in new extension point wizard makes no sense,major
484,Eclipse cannot resolve plug-in depencies,major
485,[New Schema Editor] Too much space between Documentation tabs and Documentation text fields,minor
486,NPE importing external plugins,major
487,Plug-in Manifest Editor is brutally slow,major
488,StackOverflow when building,critical
489,Workspace plug-ins are not loaded in self-hosted run-time workbench,critical
491,Cannot launch Runtime Workbench on Mac,critical
492,[New Editor] StackOverFlow Error upon saving,critical
493,[Site Editor] UI still thinks it's on source page when on GUI page,major
494,Leakage from the document provider of the manifest editor,major
495,starting-up workspace takes > 10 minutes,critical
497,Plug-in projects in workspace not loaded in runtime workbench,critical
498,[New Editor] Source Outline Page stops refreshing.,major
499,NPE in pde editor,major
500,[New Editor] Saving refreshes the forms,major
501,Target Platform not updated when starting with new build,minor
502,Plug-in model should not be reloaded for each save,major
503,Can not open feature editor from cvs repository exlorer,major
504,UITestApplication does not check for org.eclipse.core.runtime.IPlatformRunnable,blocker
506,Timing problem opening outline view?,minor
507,Colocation-affinity attribute not in feature editor UI,minor
508,Delete on Dependencies page of plugin.xml editor corrupts plugin.xml file,major
509,Workspace toasted after importing binary projects,major
510,PDE does not find references to swt.jar,major
511,PDE not finding plug-ins and extension points,critical
512,Unbound classpath container: 'org.eclipse.pde.core.requiredPlugins',major
513,Duplicate mnemonic on Target Platform preferences page,trivial
514,Stack Overflow exporting feature,major
515,"Exporting feature with os=""win32"" attribute fails",major
517,Cannot save site.xml,major
518,Phantom errors in plugin.xml editor,major
519,Tracing options not work on self-hosted session,major
520,Borders missing on toolbar buttons,major
521,Cannot build org.eclipse.ant in new workspace,major
522,PDE is hanging my system - 5/6,critical
523,IFile#setCharset should be called on user's behalf only,major
524,Add required plug-ins misses update.configurator,minor
525,I20040518 fails to launch empty RTW,major
526,NPE when building SDK RCP feature,blocker
527,"[EditorMgmt] (regression) Manifest editor always shows ""plugin.xml"" on its editor tab",major
528,needs documentation,trivial
529,Deadlock (?) in background task (M9),major
530,M9: PDE doesn't deploy working Plug-In with external jar-files,major
531,External jars not added to plugin build classpath,major
532,Generated view example runs with errors,major
533,Should PDE Generated Java be written with local history support?,minor
534,Export of plugins referencing a packaged library generates compilation errors,blocker
535,IPluginDescritor interface is deprecated but required in the constructor of AbstractUIPlugin.,critical
536,NPE when trying to open plugin.xml of org.eclipse.jdt.ui from CVS repository view,critical
537,Cannot find plug-in org.eclipse.core.resources_2.1.0,critical
538,Can't launch eclipse from eclipse on Mac.,critical
540,TargetPlatform does not recognize jar'ed plugins,major
541,Duplicate hotkey for Prefs->PDE->Target Platform,minor
542,manifest editor pages go not show titles,major
544,Export of plugins and fragments with . on the classpath,major
545,Labels truncated too short on templates page of plugin wizards.,minor
546,greaterOrEquals matching rule is not translated properly,critical
547,update-site build doesn't want to build for other platforms,major
548,"Overlapping text edits, assertion failed, save failed using plug-in manifest editor",major
549,plugin.xml compiler/verifyer doesn't react on auto build cancels,major
550,can only launch if adding -application org.eclipse.ui.ide.workbench,major
551,Startup time is horrible,critical
553,Force version defined in the feature into plug-in manifests removes comments from plugin.xml,major
554,Delete org.eclipse.swt project results in bad state in workspace,critical
555,PDE classpath container changes not always triggering builds,major
557,RC2 Build from Site Manifest Editor broken,major
558,"[MPE] PME: Label reverts to ""Plug-in Manifest Editor"" after changing plug-in ID",major
559,org.eclipse.pde is not headless anymore,critical
560,Bug 63870 reappeared. Can't export feature with a required binary jar,major
561,"Ant build script generation fails with ""Cannot find plug-in: x_y_z_3.0.0""",critical
563,Error: The import org.eclipse cannot be resolved,critical
564,Mutliple error dialogs when in full name mode,critical
566,plug-in manifest editor not picking up the correct default boolean value,major
567,PDE build fails,blocker
569,Undo in the plugin.xml editor breaks the actual file,major
570,[Manifest Editor] Undo / Redo does not work on form pages,major
571,Multiple editor instances do not share documents,major
572,TVT3.0: Strings externalization on PDE tab,critical
573,build-site function corrupts feature.xml,major
574,Plug-in export fails if a source folder is only linked,major
575,JUnit Plug-in Tests not working if tests are a fragment.,major
576,"Export feature ""Confirm Replace"" dialog missing a slash",trivial
577,Renaming plugin.xml to fragment.xml breaks workspace,major
578,Feature Export fails when plugin references exported binary-only-jar from required plugin,major
579,TVT3.0: Untranslated string in Run As Java Applet,major
580,TVT3.0: Truncation occurs in Add Library Panel,major
581,"DBCS – The GB18030 character cannot be correctly generated into the top-level plug-in class, which is created by Eclipse during the new plug-in project creation.",major
584,Error trying to launch JUnit test,major
585,Deadlock in PluginModelManager,major
586,PDE builder generates '@dot' entry in plugin classpath for build.xml,major
587,Editor not closed when corresponding file deleted in project tree,major
588,empty manifest files included in update site downloads confuse PDE,critical
590,Existing manifest files can confuse confuse PDE,critical
591,"Can't build OS specific feature ""releng style""",critical
592,"PDE Junit Test launch config UI uses wrong default for ""Clear .."" option",critical
593,PDE Junit launch short cut is not specific enough,critical
594,[perf] Generated Plugin.getResourceBundle should lazy initialize,minor
595,Add source code location file dialog doesn't Sopshow up anymore,major
596,Compiler errors after re-importing swt WITH links,critical
597,Target Platform in runtime workbench references plugins in dev workspace,major
598,WYSIYG-editor for pugin.xml or feature.xml does not synchronize changes,critical
599,Ant build of the 'zip.distribution' target of a feature's build.xml,major
601,Cannot start Runtime Workbench located in dir with DBCS char,major
602,PED corrupted after Plugin.xml change,major
603,PDE Classpath Container not adding runtime jars from fragments,major
605,JVM terminated. Exit code=1,critical
607,QuickFix of error in <runtime> tag does nothing.,minor
608,NPE every time I select anything in the site editor,critical
610,"PDE Extension FormPage Object Contribution ""Browse ""does not propose java interfaces",minor
611,Importing external plugin org.eclipse.osgi prevents Runtime workbench from Launching,major
612,Can't run headless test suite,critical
613,"""widget is disposed"" error opening Schema Element property page",critical
614,[performace] big computation on the startup,major
615,Can't change target to RCP SDK and run an application,critical
616,Can't change target to RCP SDK and run an application,critical
617,Can't drag feature to publish pane,major
619,M3: Invalid thread access exception thrown inside FeatureExportJob,major
620,pde.exportFeatures task does nothing on Linux,major
621,Adding source code location to PDE preference page,trivial
623,ctrl-v not working in manifest editor,minor
624,Extension details render incorrectly when no schema present,trivial
625,Build path does not seem to be correct sometimes,major
626,Wrong bundle id after resurrecting state,major
627,PDE Editor locks saved file until VM has shutdown,major
628,org.eclipse.pde.junit.runtime can not run without compatibility,major
629,IndexOutOfBoundsException thrown when log grows large,major
630,BIDI:Arabic text is displayed as underscores in fragment.xml file,major
631,"Preference ""Use source page as the default"" doesn't seem to be used",trivial
632,Missing classes in Jar,major
633,Linked sources folders not resolved in build files,major
634,Source for templates does not end up in the source folder,critical
635,Upgrading from I20041216-2000 to I20050112-1200 breaks workspace,major
636,Errors in feature.xml or plugin.xml very hard to diagnose,major
637,Event Details Dialog layout problem for multi line messages,minor
638,logged message wording,minor
640,org.eclipse.launcher feature no longer included in the delta pack,critical
641,After upgrading to I20050202-0800 most of my projects aren't connected to CVS anymore,critical
642,NPE during site build all,minor
644,Cannot build when the target contains jar'ed plug-ins,major
645,Tracing details panel does not appear disabled when tracing disabled,trivial
646,Self-hosted workspace not picking up product information,major
647,Darin's workspace does not compile,critical
648,launcher name should remove .exe if any,minor
649,Can't export RCP app on linux,critical
650,PDE Import causes error using I20050217-0800,critical
652,The Build Properties Editor generates incorrect code,major
653,CVS.java collides with CVS dir when project is shared,minor
654,Product configuration - wrong cross plugin URL for about image,major
655,"Exporting ""Deployable plugins and fragments"" fails in 3.1M5a",major
656,Unable to self-host,critical
657,Import External Plug-ins and Fragments wizard uses full vertical screen size,minor
658,Should cache Collators for ViewerSorters,minor
660,Indirectly referenced classes not being picked up,major
661,product export tries to write 'build.xml' files into the eclipse installation,major
662,Subsequent builds of the same plugin behaves weird and wrong,critical
663,PDE does not report errors on missing import,major
664,Can no longer load EMF from an extension location,blocker
665,Convert Projects to Plug-in Projects should have ellipsis,minor
666,Compilation of the swt 32 and 64 bits simulateneously fails when building as jars,major
667,[jars] plugin import with source cannot reverse engineer a JARd plugin,major
668,Creation of build scripts for features no longer generates the plugin scripts,major
669,SWT launcher broken by new plugin jar format,critical
670,Problems with new project layout when importing jar'd projects,major
671,Browse button for class type attributes should show interfaces,minor
672,No source when debugging types from imported JARed plug-in,critical
673,"Compile error in ""org.eclipse.swt.motif"" MANIFEST.MF",major
674,The fake feature generated to export a product does not have the right unpack value,critical
675,Unable to export plugins,critical
677,FileBuffers cache deleted files.,major
678,Can't export product on Mac,blocker
679,Can't export product on Mac,blocker
681,Using nested classes in extensions leads to ClassNotFoundException,major
682,some assemble scripts broken in M6,critical
683,Macro scripts failed,critical
684,Jared plugins contains the @dot folder,critical
685,PDE Build problem with 3.1 M6,critical
686,NPE: Cannot create a new plugin project,blocker
687,Validate Plug-ins function is broken,major
688,M6 doesn't launch SWT Applications correctly,major
690,PDE UI need to set the nextId when invoking pde build,critical
691,NPE in PointSelectionPage.finish,major
