,summary,severity
143,QA contact field shows summary of bug in columns view,minor
145,typo in globals.pl,trivial
146,"CVS instuctions confusing, error prone",minor
147,bug_email.pl doesn't allow for priority = 0,minor
149,cookie-based user authentication fails immediately after password change,minor
150,query.cgi shutdownhtml PutHeader,minor
151,"bugzilla helper contains invalied component of ""other""",major
152,"Remove the useless ""project"" column in the Change columns page",trivial
153,Userregexp matching for new product should be case-insensitive,minor
154,Above -> Below,trivial
155,Target milestone setup issue.,trivial
156,Place extra word in resolve dupe error.,trivial
157,Sentence appears inconsistently.,trivial
158,"link ""View Bugs Already Reported Today"" is messed up",critical
160,Bugzilla truncates URLs containing double quotes,critical
161,Cookie setting not checked in bugzilla,blocker
162,bugidtype=exclude breaks buglist.cgi in Bugzilla,critical
163,"mid-air collision reported when there is no reason to, followed by software error",major
164,Period in the title of notargetmilestone.html,trivial
165,Incorrect group bit used for new group,critical
166,buglist.cgi always has a not-logged-in page footer,critical
167,describe MOVED resolution in bug_status.html,minor
168,Confusing line in checksetup.pl module checking,trivial
169,Bug 38997 should be left open: bug-form should work without Javascript,critical
171,"Postfix's sendmail analogon chokes on ""-ODeliveryMode=deferred"" (Fix included :-)",blocker
172,importxml.pl is missing in list of executable files in checksetup.pl (Fix included),minor
174,Target Milestone dropdown elements appears twice,minor
175,Attachments of mime type containing a . are rejected,critical
176,sanitycheck.cgi can be run by unprivileged accounts,minor
177,Software error generated when adding invalid dependencies,minor
180,email-suffix is not shown in createaccount-page,minor
181,"if order is the first param to buglist.cgi, can't resort",major
182,relogin.cgi fails to delete server's copy of the cookie,minor
183,javascript strict warnings in query.cgi,minor
184,"""Keywords"" ""contains regexp"" Boolean Chart does not work",minor
185,can't go back after visiting bug-form.html,minor
186,handle CGI timeouts/aborts by aborting database calls,major
189,Bug file attachments broken under Windows,major
190,regression: tooltips change breaks longdescs display,critical
191,"""Helper"" opens a blank Web page, doesn't tell you it's submitted the bug.",major
192,"Make an option for ""newemailtech"" to be default",minor
193,Unable to update platform,major
196,bug_email.pl case sensitivity,trivial
197,Midair collision didn't happen.,minor
198,"If no products available, whine a bit.",trivial
200,Query page falls over if product has no components.,major
201,bugzilla's shadow dir allows viewing of bugs without permission,critical
202,"Open Bugzilla Entry Form button on Bugzilla Helper opens a new browser window, but doesn't send it to the Bugzilla form",major
203,[meta] bugzilla leaks info about hidden bugs in several places,critical
204,syntax error in reports.cgi,major
205,process_bug.cgi: multiple product change misses the groupset bit,critical
206,"Can't query for product, component, version names that have commas",major
207,Bugzilla should display the time zone on all times,minor
208,Default URL repetition,minor
209,"globals.pl and CGI.pl emit ""subroutine redefined"" messages",trivial
210,Need more than 55 groups,blocker
211,Bugzilla install doesn't work over NFS; mention this in README,minor
212,Misleading reassignment message.,minor
213,Edit sanity check?,trivial
214,Corruption on keywords table.,minor
216,Should fail in a more friendly manner if wrong server group set.,minor
217,"[2.11 CVS] No check on the ""assign to"" user when creating a new bug",critical
218,I was spammed with notifications of a mass change,minor
219,QuickSearch drops everything after the first negated word,critical
220,Error trying to edit components,major
221,Need correct permissions on new graphs dir,major
222,"Watching is broken if watched user has set ""Do not email me bugs that I change"" (which is the default)",major
223,"""My Bugs"" in Bugzilla looks wrong",major
225,New bugs do not create email if the reporter doesn't comment,critical
226,bugmail not sent when moving from cc to assigned fields,major
228,Strip trailing whitespace and lines off comments.,minor
230,duplicates.cgi performs poorly with lots of bugs,major
231,versioncache should say it's not editable.,minor
233,editmilestones.cgi can't edit the name and sortkey at the same time,minor
234,Problem with bugmail filtering,critical
237,"Don't select ""resolve as dup"" radio button when exiting empty dupe field.",trivial
239,Assignee or owner?,minor
240,Docs should include our bug writing guidelines.,minor
241,"include ""attachment"" in link to new attachment",trivial
242,2.14 Release Notes,blocker
243,2.14 Release Tracking Bug,blocker
245,checksetup.pl dependency on CGI::Carp,trivial
246,Bugzilla displays version 2.11 even though 2.12 is out,minor
247,Minor minor typo in move.pl,trivial
249,bug_form.pl should use checkboxes for groups instead of select list,minor
250,"Reversing dependencies causes ""circular dependency chain"" error",major
251,Don't allow empty bug summaries,trivial
253,Stranded Params,trivial
254,bugzilla puts &#013; inside <pre> tags,minor
255,checksetup.pl won't compile if DBI is not installed,blocker
256,QuickSearch always crashes Netscape 4.76 & 4.77 on Unix,critical
257,error in userpref.cgi  (line 330) - attachemnts -,trivial
258,"Can't use string ("""") as an ARRAY while ""strict refs"" in use at query.cgi",critical
259,userprefs.cgi at bugzilla.ny.bluefly.com has errors,critical
260,Unable to search Bugzilla w/Mozilla,major
261,shadow database gets corrupted frequently,major
263,Attachments don't work if you need to use user matching,major
264,Change columns on stored query loses title.,minor
265,"Pressing back on ""create attachment"".",trivial
266,RegExp in Example 3-6,minor
268,attachment.cgi should work with no parameters,trivial
269,Don't automatically create account on login page.,minor
270,Running a mass change clears group bits.,critical
271,"Resizing ""dropdown"" menus aren't handled gracefully",minor
272,Editing a query with a non-standard sort order.,trivial
273,"Do not display the ""change several bugs at once"" form if there are no bugs in the buglist",trivial
274,Wrong URL for MySQL homepage throughout Bugzilla,trivial
275,"""changed from"" missing from boolean chart",minor
276,Insecure dependency in require at importxml.pl line 59.,blocker
277,Boolean chart makes very wide web pages from query.cgi,trivial
278,checksetup does not handle spaces in filenames in data/mining,minor
279,Use ISO date format for attachment links (show_bug.cgi),minor
280,Bugzilla tells me to `Create an Attachment' when I already did,minor
281,boolean search date format different from where fields changed between dates,minor
282,"Sendmail ""from"" header can not be configured in one config file, From header broken in SMTP",major
283,"Sometimes, Bugzilla says 'Bug Processed', but it might not be, yet...",minor
284,'no components for this product' error does not PutHeader(),trivial
287,Bugzilla FAQ contains empty section.,minor
288,votehelp.html could do with a bit of clarification,trivial
291,Reopening en masse fails.,major
292,"Password reset issues tokens w/ ""&"" in them, URL not escaped",critical
293,"buglist.cgi uses an INNER JOIN, not supported in MySQL 3.22.5",critical
294,javascript strict warnings in enter_bug.cgi,minor
295,Circular dependencies if depends and blocks set at same time,critical
296,"editvotes error:'u r using X votes', should be 'u r *TRYING* to use X votes'",trivial
297,"software error: ""INSERT INTO shadowlog"" fails because ""Table 'shadowlog' was not locked""",blocker
299,typoed CC fails to abort before changes are made,major
300,localconfig.js contains strings of equals signs (===),minor
302,Lots of spurious commas in the activity table on keywords,blocker
304,"Need a ""Bugzilla Hacking Guide""",blocker
305,bypassing group security checks using duplicate bugs,critical
306,empty QA contact allows users who aren't lgged in to bypass group security,blocker
307,ReplaceComponentSelect is ineffecient in Mozilla,major
308,Documentation for LDAP in Bugzilla Guide,minor
309,Grammatical error in bug_status.html,trivial
311,404 Error,minor
313,2.16 Release Tracking Bug,blocker
314,2.16 Release Notes Bug,blocker
315,Broken link to download Chart::Base module,major
317,Confusing link on show votes page??,trivial
318,bug_form_pl_sillyness() used in defparams.pl causes subroutine redefined error,minor
319,.htaccess created by checksetup.pl is bad,critical
320,New min. version for perl [5.005],critical
322,URL field doesn't appear on newmails.,minor
324,check run remembered query when choosing a remembered query,minor
327,Attachment manager doesn't html_escape bug titles.,critical
329,[security] Minor problem w/ error message if some sort of login error in doeditvotes,critical
330,The 'ViewAll attachments' link should be greyed out if there are none,minor
333,"Clicking ""remove cc"" checkbox, but not selecting user produces ""Software Error""",minor
335,template files do not have license headers,blocker
336,"Invalid timestamp in cc, no e-mail",blocker
337,Win32 Install - Use full path to perl.,major
338,[security] Possible leak of bug summary in dependency changed e-mail,blocker
339,query.cgi lists 'programs' enter_bug.cgi lists 'products',trivial
341,Bugzilla helper incorrectly prepends http:// to non-http: URLs,minor
342,Edit attachment and login page don't work well together [dataloss],critical
343,emailsuffix missing from component owner mailto tag,minor
344,component column should be after product column in query results,minor
346,UNKNOWN user added to cc list,minor
347,product-change page appears even if i don't write a comment,minor
348,Dependency graphs should be able to be limited by relationship,major
349,Site Navigation Bar incorrect if viewing a bug not in the list,minor
350,Correctly use noun/verb forms of Login/Log In and Logout/Log Out where appropriate,trivial
351,"""Keyword"" ""changed (blah)"" Boolean Chart does not work.",minor
352,templatize buglist.cgi,blocker
353,Templatise enter_bug.cgi,blocker
354,Not logged in page should indicate you may need to create account,minor
355,showdependencytree.cgi: warn only if bugs are really dropped,minor
356,"attachment.cgi doesn't look in ""template/custom"" directory",blocker
359,Missing dependency tree information,major
360,"vote field for products which allow multiple votes defaults to size=""5"" and doesnt include a maxlength="""" attribute",minor
362,Email addresses in cc list should be sorted case insensitively,trivial
363,"Rename ""Components"" link in sub GetCommandMenu() to ""Products""",minor
364,Create Makefile branch,blocker
365,bugzilla should pay attention to linebreaks when making bugnumbers to links,minor
366,Footer links have double pipe.,trivial
370,Mover handling is borked on move.pl.,minor
371,Spurious corruption error if default platform is not available,major
373,Resolution lost due to midair.,major
374,Inconsistent table grouping,trivial
375,columns checked by sanitycheck.cgi have different widths,major
377,Test ticket.,minor
378,Mid air collision page may not show all updates,blocker
380,"Posting bug page should not say ""posting"" or ""please wait""",trivial
382,"""knob is not defined"" error message does not help a user find the error",minor
383,Bundle::Bugzilla needs to be updated on CPAN for the Bugzilla v2.16 release,blocker
384,[security] We allow the user to send arbitary SQL!!!!!,blocker
385,[security] users with blessgroupset!= 0 can change any groupset,blocker
386,[security] Any user can change their groupset!,blocker
387,Bugzilla does not set email prefs for new user until user visits userprefs.cgi,minor
388,Need to enable taint mode,blocker
389,Footer on create attachment page looks wrong.,minor
390,Go to right place after logging in when attaching to a confidential bug.,minor
392,"If auth fails on create new attachment, no Bugzilla header is displayed",major
393,platform detection not working on macintosh,critical
394,Attachment link on newly entered bug refers to old form,blocker
397,"bug# and bug summary should be aligned, in ""create new attachment"" page",trivial
398,[security] fieldx-x-x values not validated,blocker
399,[security] longlist.cgi doesn't check that $bug is valid,blocker
400,checksetup.pl fails to connect to mysql database - password not escaped in localconfig,blocker
402,templatize describecomponents.cgi,blocker
403,SQL error in globals.pl,blocker
404,login screen fails with illegal array reference,critical
405,Bugzilla Helper needs to include Win XP in pulldown,minor
406,Properly encode subjects in newchanged mails.,major
407,Bad wording and placement of sort options in new query.cgi,minor
409,"query for ""Added comment"" in the email section fails",major
410,Test should not `cat $file`,major
411,Unencoded regexps passed to make_selection_widget.,minor
412,"link to dependent bug in ""dependent bug changed state"" notification",minor
413,Templatise long_list.cgi,blocker
414,checksetup fails(?) to detect installed DBD::mysql module,major
415,"Comments after ""."" on empty line are not emailed",minor
416,Templatise user_prefs.cgi,blocker
417,Templatise createaccount.cgi,blocker
418,Templatise describekeywords.cgi,blocker
419,Mass Change removes a bugs groupset if the bug was in the wrong product group,critical
420,Templatise quips.cgi and roll in new_comment.cgi,blocker
421,Templatise showvotes.cgi and incorporate doeditvotes.cgi,blocker
423,Bugzilla fails to notice if nothing has changed when editing multiple bugs if no keywords have been defined,minor
424,Query template does not display keyword search box,blocker
425,Incorrect message from checksetup.pl,trivial
426,Use of Template.pm filters for url and html encoding.,minor
427,SECURITY: predictable sessionid (Use a token instead of logincookie),major
428,Templatise duplicates.cgi,blocker
429,Template error checking,blocker
431,Munge email addresses to make life difficult for the spammers' spiders,critical
432,Discussion Bug - Patch Pool,major
433,Discussion Bug - Bug Overload,major
434,Discussion Bug - Bug Triaging,major
436,URL field should be intuitively clickable,minor
437,Weird notification with changes from over a month ago received.,minor
439,Taint error after changing bug,blocker
440,header template outputs empty <style> tag,minor
441,Perl warning running checksetup.pl if a module has a non-numeric version number,blocker
445,setting attachment status fails,blocker
446,Charting fails taint checks,blocker
447,enter_bug.cgi has changing layout,minor
449,lock the bugs table for writing when inserting a new bug,critical
450,support replication with mysql,major
451,"""only e-mail changes by others"" seems ineffective",minor
452,Templatise post_bug.cgi,blocker
455,query containing target milestone returns bad results,major
456,[Brower and Composer | Print preview] component is not on bugzilla helper,minor
457,Should move revision history below table of contents in docs index,minor
460,Templatise process_bug.cgi,blocker
463,Edit attachment as comment submits attachment as comment before user can edit,major
464,error submitting Javascript Engine bug,critical
466,Templatise token.cgi,blocker
467,Templatise relogin.cgi,blocker
468,Templatise showdependencytree.cgi,blocker
469,Templatise showdependencygraph.cgi,blocker
471,bugzilla.dtd isn't quite correct,major
472,Bugzilla should support translated/localized templates,critical
473,Typo in Priority help text (bug_status.html),trivial
474,Query for CC/longdesc/OR takes long time,major
476,comments template adds one too many lines,major
477,Error after change columns,major
478,checksetup.pl fails with XML::Parser error.,blocker
479,Few file arguments missing in example for perl path substitutions,trivial
481,all users receive email on all changes regardless of email preferences,blocker
483,Error in checking bug_status in post_bug.cgi,blocker
485,"misleading error message when entering incorrect password on ""account settings"" page",minor
486,incorrect column definition for bugs.delta_ts,trivial
487,logincookies IP check can be bypassed,blocker
488,Sorting by Target Milestone in templatized buglist.cgi generates bogus error,major
490,Next does not always go next,minor
493,Ignores change from Unconfirmed -> New by bug poster when logged out,minor
494,Need to fixPerms the css directory,blocker
495,login page should state that you need cookies enabled for bugzilla to remember your login past the next page,minor
497,"""zarro bugs found"" is no more",critical
498,mass change removes dependencies,blocker
499,syntax error in show_bug.cgi,major
501,mass confirming bugs fails,blocker
502,Audit templates for FILTER usage,blocker
503,Audit show_bug.html.tmpl for FILTER usage,blocker
504,Bugzilla Helper should be enter_bug.cgi template,blocker
505,"""check all"" button missing from bulk change form",blocker
506,PERFORMANCE: deleting old login cookies locks login checks,major
508,not finding .pm files,major
509,We die if the admin email address doesn't match the regexp,minor
510,mass change form offers too many groups,minor
511,taint error in buglist.cgi,critical
512,defparams.pl::WriteParams makes data directory world writable,critical
513,template version strings break templates,blocker
514,"Creating bugs: OS detection doesn't work for Internet Explorer, Win NT 4.0",minor
517,two extra spaces after every comment,trivial
518,'FILTER html' used in *.txt.tmpl files instead of 'FILTER uri',critical
519,bug_email.pl uses /usr/bin/perl instead of ...bonsaitools/bin/perl,trivial
520,can't create new accounts cvs tip 4/8/02,blocker
521,"Final ""."" missing in explanation for ""INVALID"" in queryhelp.cgi",trivial
522,most summary searches take 13-17 seconds,major
523,"createaccount.cgi emits ""Content-type: text/html"" twice",minor
525,the email fields on the query form are too small,minor
526,showdependencytree.cgi has minor grammatical and formatting issues,minor
527,"Empty ""move-button-text"" field blocks changing bugs",minor
529,changing milestone not required when assigning,minor
534,Make the Bugzilla Sidebar use valid XUL,critical
535,post_bug.cgi error messages cause Internal Server Error,critical
536,Two typos,trivial
537,"""Back to bug"" link broken on show_activity.cgi page",minor
538,ConnectToDatabase misuse - partial fix for 2.16,minor
540,Fix Tinderbox bustage caused by various patches,blocker
541,Change references to index.html to index.cgi,blocker
543,checksetup.pl fails if data/params doesn't exist,blocker
545,Templatisation odds and ends,critical
547,We need to start calling SyncAnyPendingShadowChanges again,critical
548,"query.cgi, search/seach.html.tmpl: should move some strings to template",major
549,Stagger headers have wrong order (buglist.cgi/table.html.tmpl),major
550,edit attachment as comment displays pre- and post- html tags,minor
551,query.cgi fails after search.html.tmpl has been splited,blocker
552,Templatise GetCommandMenu,blocker
553,directory datatemplate created in the bugzilla root directory,blocker
554,checksetup.pl fails on perl 5.005,blocker
555,midair collision has a template error,blocker
556,Navigation doesn't work after creating a new bug,major
557,New processmail piping style doesn't work on Win32/ActiveState,critical
558,Creating the first attachment status fails,major
559,You can add/remove dependencies on bugs you can't see,major
560,"""Version unspecified"" error when changing product with product groups enabled",critical
561,Mozilla context menu broken on query.cgi,critical
562,Set the max_packet_size for attachments (and bugs_fulltext) when connecting to MySQL,major
563,enhancements in buglists should be grey,minor
565,failed to attach binary files,major
566,Output from checksetup.pl contains misspelled words,trivial
567,Queries in footer don't work properly,critical
568,Bug groups text is unclear,minor
569,Footer shows as logged out on show_bug.cgi,critical
570,No email to the qa contact when creating bugs,major
571,Changing a bug with an empty buglist gives a warning,critical
572,process_bug.cgi calls CheckCanChangeField() with --do_not_change-- values,minor
573,enter_bug.cgi: Using ?format=simple doesn't work,major
574,required modules tests should be sorted,minor
575,General template display system,critical
577,Enabling usebuggroups and usebuggroupsentry causes errors,major
578,Midair collision doubles line feeds,major
579,verify-new-product template uses cgi.pm?,major
580,describecomponents.cgi doesn't call quietly_check_login().,major
581,Tasks | Tools | Javascript Console,trivial
582,query.cgi doesn't always ConnectToDatabase() early enough,major
583,editcomponents use the term product where component should be used,minor
584,"Non-maintainers with ability to bless others need ""users"" link in footer",minor
585,Amendment to the Windows installation guide,minor
586,Unable to create a new account,major
587,cross-site scripting bug with bugzilla user's name,major
588,"Bugzilla helper needs updating, causes error on hitting submit",major
591,2.14.1/2.16 branches and trunk needs security audit against cross-site scripting bugs,major
592,Minor html glitch on the enter_bug template,minor
593,More HTML validation fixes,minor
594,buglist.cgi outputs a warning if first query doesn't have a sort order,critical
595,2.18 Release Notes Bug,blocker
596,ConnectToDatabase/quietly_check_login issues.,major
597,Extraneous blank line above initial comments.,minor
598,verify-new-product.html.tmpl doesn't set defaults,minor
599,Email and Numbering text is grammatically incorrect,trivial
602,Extra whitespace included in saved query links,trivial
603,missing space between lists of attachments,trivial
604,Some params containing mail-templates contain URLs with terminating punctuation,trivial
605,confirmation doesn't propagate when reassigning to new product/component,major
607,reporter/qa_contact/assignee cannot confirm bugs,trivial
608,(This bug is not in your list) is confusing,trivial
609,Search by (flag name|depends|blocked|...) contains a string fails,major
610,quicksearch.js sometimes calls buglist.cgi without parameters,minor
611,'QA Contact' column presented with useqacontact = Off,minor
612,performance problems in quoteUrls,major
614,SW error : server shutdown in progress received,blocker
615,After deleting remembered query it is still in page footer,minor
617,index.cgi pimps for netscape.com,trivial
618,"mid-air collision while marking a dup duplicates ""this bug has been marked...""",minor
619,Brade made a bug NEW FIXED (2002-06-19 10:14:32),critical
620,Pref for no notification on Target Milestone change not respected.,minor
621,restoreSelection does not correctly restore values for Component/Version/Target Milestone,minor
622,Attachment modified date is meant to be attachment creation date,minor
623,Remember query options contains invalid html,minor
624,Basic script maintenance: contrib email scripts (bug_email.pl & bugzilla_email_append.pl),minor
625,ccing an invalid user on a bug posts the bug anyway,critical
626,"Sidebar ""my bugs"" presents bad url to Mozilla 1.0",minor
627,standardizing on <a>NAME</a>: vs. <a>NAME:</a>,trivial
629,$::FORM is not tainted under perl 5.6.1,blocker
630,"Cannot Remove ""My Bugs""",trivial
631,"Query interface uses ´ instead of ' in ""doesn't""",trivial
632,data dir is not correctly created,minor
633,bug alias field messes up at 800x600,trivial
634,"review: Footer on create attachment page looks wrong., v1",minor
635,"Should replace <label>s with <label for="""">s",trivial
636,thisrandomstring is not a random string,trivial
638,Abstract out GenerateSQL into perl module,major
639,can edit all aspects of any bug is a lie,trivial
640,"review: General template display system, Patch v.2",critical
641,"review: if order is the first param to buglist.cgi, can't resort, Patch v.1",major
642,Bug activity log doesn't contain group changes,major
643,Bug navigation is confusing when viewing a bug not in your last search,minor
644,"review: Abstract out GenerateSQL into perl module, Patch v.1",major
647,"review: list/list.html.tmpl: Error in hash initialisation, v1: move '}' one line down and add a comma.",major
648,quips should be editable and deleteable using the web interface,minor
649,2.18 Release Tracking Bug,blocker
651,bug vote instructions are misleading/confusing,minor
652,Syntax error in versioncache,major
654,boolean chart addition doesn't keep query template format,minor
655,products that start with _ do not show up properly in query.cgi,major
656,bug_email.pl is broken,blocker
657,Make the bug number field use 7 digits instead of 6,trivial
658,"Bug changes with intermediate pages munges fields with multiple values (e.g., CC)",critical
659,SQL-error in userprefs.cgi with allowemailchange,major
660,mention additional perl module,minor
661,undef error in globals.pl after updgrade to 2.16,critical
662,New search knob causes warnings,minor
663,HEAD Broken - new Bugzilla/Search.pm error,critical
666,Cannot accept bugs if requiremilestone is on,major
667,bugzilla_email_append.pl calls processmail incorrectly,critical
670,Importxml will fail if versioncache needs update,major
671,importxml.pl fails,major
672,"review: Importxml will fail if versioncache needs update, Fix - needed on 2.16 as well as 2.17",major
673,"review: Importxml will fail if versioncache needs update, Fix - needed on 2.16 as well as 2.17",major
674,Param and UserInGroup are not defined in Bugzilla::Search,major
675,Add .htaccess to Bugzilla/.cvsignore,trivial
676,xml.cgi - attachments is broken and insiders not enforced,critical
677,"review: xml.cgi - attachments is broken and insiders not enforced, Fix",critical
678,Apostrophes are not properly handled in e-mail addresses,critical
679,Internet Explorer 6.0 crashes when leaving buglist,major
680,Bugzilla::Config should check for defparams.pl failure,major
682,checksetup.pl gives inadequate error message for administrator password prompt,minor
683,Spelling errors.,minor
684,reports.cgi broken by recent schema changes,major
685,unix_timestamp conversion error using MySQL,major
687,Query - multiple-select product (and probably component) broken,major
688,Schema Changes from bug 143826 are out of order,minor
689,"review: Query - multiple-select product (and probably component) broken, Patch",major
690,"review: bug #167485, attachment #98834",critical
691,Can't search bugs resolved in a given time range that a given person owns,major
692,Use of uninitialized value in chown at ./checksetup.pl line 1053 (#1),minor
693,webdot configuration parameters are incorrect,minor
695,"enter_bug.cgi should not lie saying: ""Derivatives"" is not a valid product.",trivial
696,"review: boolean chart addition doesn't keep query template format, Patch v.1",minor
697,data corruption moving bugs between products with attachment statuses that have the same name,critical
698,Change error API again,major
701,Changing Assignee of a bug fails with SQL error,blocker
702,comment-<format>.txt.tmpl not called,major
703,Content-Disposition: attachment brings up Downloading dialog,major
705,Unspecified axis in bug counts is displayed as '0'.,trivial
707,File::Temp (required by TT 2.08) is broken in Perl 5.6.0,blocker
710,can't see restricted bugs if cc set,critical
711,importxml.pl fails tests under perl 5.8,blocker
712,Fix site-navigation.html.tmpl to link to flags CGI and not attachments one,minor
713,report.cgi needs to re-catch $SIG{TERM},major
714,Edit multiple bugs broken,major
716,"review: Fix site-navigation.html.tmpl to link to flags CGI and not attachments one, Patch v.1",minor
717,Make templates html compliant,minor
719,Links from tabular report totals to queries don't work properly,minor
720,reports.cgi throws a scary error if collectstats has never been run,minor
721,"""This bug is not in your list"" appears in error.",minor
722,Stored queries ordering and editing broken after moving to CGI.pm,major
725,Taint warning from post_bug with perl 5.8,major
727,"review: Query for CC/longdesc/OR takes long time, Revised with readability improvements",major
730,vote check box should appear on left,minor
731,Graphical Charts fail with taint error with perl 5.6.0,critical
733,don't allow breaks around requestee field,minor
734,Bug Creation Date doesn't get displayed in long list,minor
737,New flag system doesn't tell you what the flag was set on in bugmail,major
739,"""Preset Queries"" text does not appear in footer if last named query is not in footer",minor
740,"Missing space.   ""Reassign bug to ownerand QA contact of selected component """,minor
742,"Searching for comment contains string + email gives ""Not unique table/alias: 'longdescs_' at globals.pl line 242""",major
743,Unknown table 'map_assigned_to' in order clause at globals.pl line 242,critical
745,request queue always shows empty 'none' table,minor
746,output from modifying an attachment has too many consecutive ruled lines of varying number,minor
747,cannot clear status whiteboard entirely,blocker
748,Mozilla-specific wording in duplicates.cgi explanation text,minor
749,HTML-unsafe characters need to be escaped in quips,blocker
750,removing + from a flag doesn't clear setter,major
751,Oddly formatted dependency emails,blocker
752,Move order-by generation from buglist.cgi into search.pm,minor
753,Displays wrong product name in question of bug entry template for Chimera or Bugzilla,minor
755,Request notifications dont take group restrictions fully into account,minor
