,summary,severity
85,LaunchingPlugin start full build after attaching source to rt.jar,major
88,Class files written to custom output and default output,major
89,IllegalArgumentException on mouse cursor move,critical
90,PDE Junit: Workspace test not cleared,blocker
93,NPE on importing plugins,major
94,NPE in  Typehiearchy history,major
95,After installing Apple Java 1.4.1 Developer Preview 6 cannot compile Java,critical
96,Debug UI is not refreshed when hitting a breakpoint,major
98,Open Type broken when workspace has build path problems,major
99,NPE in browsing perspective,critical
100,Unreadable error message from build class path validation,major
101,[JUnit] Preference page: stack filter should be stack trace filter,trivial
102,java build path: dialog shows mis-information,critical
103,Error ticks appear on empty default package in packages view hierarchical layout,major
105,JRE container description wrong,major
106,java build path - settings lost [build path],critical
108,inconsistent handling of cancelling preview in rename dialogs [refactoring],major
110,nested src folders - deleting the outermost one deletes all nested,major
111,nested source folders - moving outermost moves all,major
112,Automatic detection of source folders doesn't work,major
114,Missing one unit in package view,major
115,On Eclipse startup: No disk in drive dialog pops up [ccp],major
117,Huge number of warnings now generated by JDTCompilerAdapter,minor
120,Classpath gets lost after deleting an external jar [build path] [ccp],critical
122,NPE in CompilationUnitEditor,major
123,NPE when evaluating code in scrapbook,major
124,Compiler crashes with M4,major
126,[GlobalActions] Second Quickfix for unused imports does nothing [quick fix],minor
127,JRE JAR finder does not find JARs in jre/lib,major
130,[launcher] Exception launching the Eclipse Platform,major
131,in-place outline is displayed with edit-able titlebar,trivial
132,'open external javadoc' appears incorrectly in key binding list,trivial
133,[Key Bindings] 'show in navigator view' appears incorrectly in key binding list,trivial
134,Completion for anonymous inner class results in syntax error,major
135,"""Show Source of Selected Element Only"" makes Eclipse crash",major
136,NPE in getLibraryLocations during preference file import,major
137,NPE in Surround with try/catch block [refactoring],major
138,DeltaProcessor walks removed project,major
139,M4 Arguments Text Box in Run/Debug maxs CPU typing is slow,major
140,M4 - Debug configuration dialog causes 100% CPU,major
141,Refactoring throws exception if .project or .classpath read-only in 2.1 M4,major
142,cannot run junit anymore [PDE JUnit],major
144,String index out of bounds error when creating a new class and adding an interface,major
145,"Poor wording in task message ""This method overrides deprecated...""",minor
146,[hovering] JavaDoc Hover should interprete &-tags,minor
147,Excluded folder on project not returned by Java Model,major
148,[typing] Auto-inserted bracket '}' crosses parentheses scope,minor
149,[Contributions] Context menu contributions should support visibility element,major
150,Internal compiler error: final field set in loop (in constructor),critical
151,Cannot cancel organize imports,minor
152,SearchEngine regressions in 20030114,major
153,"Search for declaration via patterns adds '""*""",major
154,Wrong Delta When Adding to Filtered Folder,critical
157,Move refactoring doesn't honor read-only flags,major
158,Add Javadoc Comment creates incorrect declaration [javadoc],minor
161,Java Perspective: Eclipse freezes when changing focus.,major
163,NamingConvention.suggestArgumentNames: No guess returned,major
164,[Contributions] Duplicate menu items [misc],major
165,No JavaElement delta when renaming non-Java project,major
166,InvocationTargetException when creating jar file selectively,major
167,DeleteRefactoring has to handle IProjects,major
169,jre version incorrect when running with a different JRE,major
170,package explorer reacts strangely to deleting multi non-java projects [package explorer],major
171,Stack trace in Refactor -> Extract Local variable... [refactoring],major
172,Add Breakpoint Dialog cut off with High Contrast,major
173,Error when changing JDT preference,critical
174,"""Properties of"" dialog does not show ""Javadoc Location"" correctly",minor
176,Its back: Core Exception [code 380] The resource tree is locked for modifications,major
177,ClassCastException selecting package in java browsing perspective,major
178,"AST.parseCompilationUnit(IClassFile, boolean) throws IAE even if class file has source",critical
179,extract method: creates unneeded return type,minor
180,Typo in error dialog,minor
181,Exception attaching source to library [build path],major
182,IPackageFragmentRoot:move ignores FORCE flag,major
183,typo in javadoc of IPackageFragmentRoot:isArchive,trivial
184,"Simple mistake in warning message, Refactor/Extract Method.",minor
185,Exception upon inlining methods using assert key word,major
186,Strange java delta when creating a new class,major
187,Package explorer drag'n drop does not always work,major
188,Refresh problem in Package Explorer view,major
189,"Problem with linked folders, filters and refactoring.",major
190,PackageView - failure when refreshing non-java projects,major
191,exclusion filters: cannot remove [build path],major
192,Out of memory exception during hierarchy scoped search,major
193,java.lang.NoSuchFieldError: handle,major
194,Java editor swallows my pressed key,major
195,IPackageFragmentRoot: copy removes source folders from classpath,major
196,IndexOutOfBoundsException in CodeTemplateBlock,major
199,Refactor-> Rename in Static initializer [refactoring],minor
200,corrupting the path to the source file(path string is corrupted),critical
202,${package_statement} should be called ${package_declaration} [code manipulation],minor
204,unused member in refactoring,minor
205,Step actions disabled,major
208,Internal Error in the log.,major
209,Decorators are refreshed to frequently [browsing],minor
210,14 times - Unneccessary error dialog from Outline View,critical
212,Debbugger Source Lookup does not work with variables,minor
213,inconsistent feature names and blurbs,minor
214,Moving linked resource onto self deletes linked resource,major
215,Detail formatters not working,major
216,[typing] Undoing linked edits always reveals last occurrence,minor
217,Confusing icons on Members Sort order preference page [render],trivial
219,Cannot resume after hit 'suspend VM' -breakpoint. Eclipse Vers: 2.1 M4,major
222,Errors in outline view,major
223,MacOSX - Unable to access external paths  to shared libs,major
225,occurrences in file: global menu entry strangely disabled,minor
226,"""Sort members"" and markers",major
227,quick fix: new methods called from construcotr calls should be static [code manipulation],minor
229,substandard language in source actions if file is read-only,minor
230,TVT21,major
231,NPE setting classpath,major
233,After rapid step details not updated,major
234,Stack frame update error,major
235,CU is on build path also it is located in a excluded folder,critical
236,Should writeObject/readObject be a compiler warning?,minor
237,Update problem in Java browsing perspective [browsing],major
238,List with files of non-externalized strings should show project [NLS Tools],trivial
239,Linked editing does not work in segmented mode,major
241,JME when changing method signature,major
242,import statement áuto-added with <CTRL><Space> garbles view,minor
243,[typing] Code formatting did not work as expected after adding try/catch block,minor
244,typos in javadoc of NamingConventions,trivial
245,Save problems in Websphere Application Developer 4.1.0,major
247,Browsing views should add listener to page [Browsing],trivial
248,Cannot open files,major
249,Eclipse stopped with dialog showing it had terminated,major
250,Getting squigglies in Java files not on classpath,major
251,Package Explorer: Cannot search for references in workspace,major
252,"exception is thrown after i click the ""lightbulb"" icon",major
254,IllegalArgumentException editing source,major
256,Go To Resource missing files,major
257,"In generated comments, the default text is misleading",trivial
259,Save dialog doesn't remove '&' from title string,trivial
260,renaming a java project wipes out linked sourcefolders,critical
262,Multiple output folders fooling Java builder,major
263,Error when source folder is named like <folder-name>.jar,major
264,[keybindings] Keybindings should be in Text or Source Scope,major
266,[formatting] Source code 'Format' should not be dependent on file-changed,trivial
268,Text selection in 'Edit Template' dialog behaves oddly,minor
269,Refactor->Rename on linked resource moves resource,major
270,able to let user to user their quickfix proposal,major
271,Hyperlink on wrapped line draws line badly,trivial
272,Problems searching for references to selected text,major
274,[misc] Text layout not correct,major
275,Invalid link in help text for JDT,minor
276,Cannot open type hierarchy after a cancel,major
277,Generate Delegate Methods problems with overloading,major
278,[reconciling] the underline is disappeared after renaming the class name,major
279,disabled breakpoints still rendered as enabled,major
280,Project->Refactor->Move only works on open projects but enabled on closed projects,minor
281,Organize Import Second Guessing Itself (regression!),major
282,Error saving changed source files; all files in project deleted,critical
283,Console Pref page: punctuation and capitalization,trivial
284,Debug Launch configuration does not expand classpath variables properly,critical
285,Enabling condition should place cursor in condition text field,trivial
288,[implementation] Rework context menu code,major
289,Classpath error are not detected after a Check out,major
291,Missing menu mneumonics,minor
292,"""Organize imports"" doesn't always remove unused import declarations [code manipulation]",minor
294,Hierarchy view inconsistent after stopping,major
295,Exception while playing with type hierarchy,major
296,Java Browsing Members view does not update on visibility change,critical
300,"Confusing icons on ""Code and Comments"" preference page",trivial
301,hang in clipboard get contents [reorg] [ccp] [dnd],major
302,Refactoring preview dialog positioned outside screen,major
303,OutOfMemoryException while searching for references,major
304,Convert local var to field does not use names from code generation preferences,minor
305,[hovering] Javadoc Hover adds an empty line when there are only tags,minor
306,Missing target in delete imports dialog,minor
308,Organize Imports adds compile errors,major
310,Missing Preview in Inline Method refactoring,minor
311,Extract interface does not use method code templates,minor
312,"Rename ""Pulled Up"" button to ""Restore Defaults""",trivial
313,Exceptions when creating a class in a non-java project.,major
314,Push Down needs busy cursor,major
315,Internal Error (NPE) during Use Supertype Where Possible,critical
317,Move static method dialog. Error message too long.,major
318,[formatting] templates variables evaluation,minor
319,Internal error generating javadoc for simple project,major
320,Allowed to add a package to a non-java project,major
322,No New menu when selecting file,minor
324,"""Show in Package Explorer"" cannot reveal inner class",major
325,StringIndexOutOfBoundsException from Junit HierarchyRunView,major
326,"[Refactoring] ""Change method signature"" changes more than one method",major
327,Build path seems to be lost every time Eclipse restarts,major
328,Cannot turn javadoc generation off,minor
330,Add catch to surrounding try gone?,minor
331,closed projects should not be allowed as destination for move or copy,major
332,Failure creating new project,critical
333,source file totally scrambled after undo of QuickAssist,major
334,[refactoring] dialog lost function - going back from Preview,major
335,"Template preference page, Dialog behaviour on edit template seems incorrect",minor
336,Go to Next Problem broken in M5/RC1,major
337,typing in editor does not flush refactoring undo stack which leads to garbage on undo,major
338,NPE setting output directory of a source folder,major
340,Java browsing perspective not updating on source folder selection,major
341,Unreachable catch block when openning source,critical
344,"""False-positive"" deprecated warning",minor
345,It takes a minute to expand a project in Package explorer,major
346,"Table in ""Installed JREs"" pref pages doesn't save column width",minor
347,Move to/from default package should inform user about potential errors [refactoring],major
348,Type hierarchy updating,major
349,Undo after inlining trashes editor content,major
350,Invalid thread access during JDT Debug UI plugin startup,major
352,Refactoring Rename Takes Too Long,major
353,Delete Previous Word,major
354,Spurious JUnit View Opens in Debug Perspective,major
355,Add Java Watch Expression dialog labels,trivial
356,Java code syntax coloring (changing of),minor
357,"Typing a "" when followed by a "" does not always move cursor",minor
359,[wording] Generated comment wording not quite correct,trivial
361,Adding source folder throws JavaModelException,major
362,[wording]Support hyperlink style navigation - why is shift rejected?,minor
364,Title casing issues,trivial
365,Hierarchy causes OutOfMemoryError during full-rebuild,major
366,Array out of bounds in code assist,major
368,Running Swing app from Eclipse causes video driver / WinXP to crash,critical
371,String externalization href points to out of date article,trivial
372,Rename refactoring on modified file causes AssertionFailedException,major
374,remove final from Variable Declaration after surround with try/catch [refactoirng],minor
375,Inline method refactoring doesn't introduce variable when needed,major
378,"Attaching source redraws editor many times, causing much flashing",major
380,Default classpath has to be selected twice to update,minor
381,new string for pull up is bogus,major
382,Rename Java-template dialog message is wrong,minor
383,Index update request can be incorrectly handled,major
384, @inheritedoc no consistently rendered,minor
385,Invalid background in formatter text box,trivial
386,NPE when attaching source,major
387,"(possibly regression) Moving to default package adds "".*"" import[ccp]",major
390,inline comment after else causes following bracket to indent on format,trivial
391,[nls] Inconsistencies between properties files and nls strings,trivial
392,j9 launcher times out too fast,critical
395,Custom background color not being used in text area on Code Formatter Preferences pag,minor
396,RC3 can't handle all file extensions,major
397,"Cheese: ""Import Declarations"" item in elements view missing text [browsing]",minor
398,The SourceMapper instances could share the fileNamefilter,trivial
399,spec bug in CompilationUnitSorter.sort,minor
400,Unable to build problem,major
401,Broken links in JDT user doc tips and tricks,major
402,NPE when opening ClassFile Editor,major
403,code formatter: missing space after last array initializer,minor
404,Build errors on binary plugins when updating to new build,major
405,Incremental compilation ignores linked folders,major
406,Content of folders with illegal package name are no shown in package explorer,major
412,[misc] ArrayIndexOutOfBounds during JavaEditor&MouseClickListener.repairRepresentation,major
413,extract local variable causing exception [refactoring],minor
414,Cannot edit JREs that are created using J9 plugin on Linux,major
415,Cannot completely disable generation of comments,trivial
416,Debugger doesn't step properly,critical
417,[DOM/AST] Incorrect grammar rule in TypeDeclaration,trivial
419,TODOs reported twice when located at the end of the method declaration,minor
421,[typing] comments entering - moves text out of comment scope,minor
422,Organize Imports produces imports which are never used [code manipulation],minor
424,[java launching] Abnormal behaviour when using -Xrun,major
427,Quickfix (create method) generates wrong parameter type if same name exists in other package [quick fix],minor
428,Java compiler misses dependency on 'static final' class variables.,major
429,call hierarchy: default depth is 0,major
430,Problem occured while building workspace,major
432,"Replace not working using ""."" or "","" characters",major
433,call hierarchy: IllegalArgumentException after deleting a method,major
434,[templates] 'systrace' template produces incorrect string in anonymous classes,minor
436,"After change and compile, Eclipse runs old class file",critical
438,JAR Packager tries to access resources that are not checked [X] [jarcreation],major
439,"Refactor: move static method ""corrects"" code, but fails to update imports in target [refactoring]",minor
443,"VerifyError ""Illegal target of jump or branch""",major
444,"non-existent import flaged as ""not used"" instead of ""not found""",minor
445,Eclipse 'cheats' on the classpath,critical
449,Source exclusion filters not applied for auto-build,minor
450,Qualified Name if you create a test case [JUnit],major
451,"""public"" folders are cannot be traversed",major
452,Bad wording:  location must be described a variable path,trivial
453,Code assist diabled,critical
454,TVT21:  Problem in String,trivial
455,editor shows unresolvable import marker for changed jar file,major
456,[EditorMgmt] File opens in wrong workbench window.,minor
458,Cannot rename a Java Project referenced by a Simple Project [refactoring],major
459,NPE in DeltaProcessor using latest JDT/Core version v_353,critical
460,Copying source folders deletes target folders [reorg] [ccp],critical
462,Control key as a meta key hard coded,major
464,this = null; should raise compile time error,major
466,"[typing] /** + Enter should do the same as ""Add Javadoc""",minor
467,NPE when trying eval from var view,major
468,[reconciling] NewNotPresentException in Java Outline view,major
470,[preferences][templates] Missing new templates after updating to new version of Eclipse,minor
471,"Java Browing Perspective: Once set to 'stack vertically', can no longer arrange horizontally [browsing]",trivial
472,Mistake on Web site,trivial
473,"new project, cancel deletes existing files [code manipulation]",major
475,inline method: incorrect indenting of block,minor
476,getters/setters: not fully correct wording,trivial
477,Alignment problem in Java Editor pref page,minor
478,add constructors: incorrect wording,minor
480,[typing] Smart semicolon and /* */ end of line comments,minor
481,getters/setters dialog: layout [code manipulation],minor
482,'display' not working in variables view,major
485,Selecting line using keyboard sends selection change with length zero which disables certain refactoring actions,major
486,[typing] javadoc tag completion,minor
487,Override/Implement Methods dialog should expand first element in viewer.,trivial
490,Search for existing type fails,major
491,Performance Problem,major
492,[misc] Javadoc view does not handle resize,minor
493,Cannot Debug,major
494,Preferences->Java->Installed JREs->Add hangs eclipse,major
495,Sporadic errors when running refactoring tests,major
497,"""Operation in progress"" can not be cancelled",major
498,IndexManager hangs in end-less loop,major
500,NPE in editor while saving contents,major
501,old junit launches not killed after run finished [JUnit],major
502,debugging is very slow in gtk,major
503,Undo Rename refactoring fails [refactoring],major
506,[java launching] Renaming my installed JREs broke all my launch configs,major
507,[misc] NPE in JavaOutlinePage.getMainType,major
510,[navigation] F3 generates two navigation history entries,major
511,AFE in ASTRewrite.markAsReplaced,major
512,Rename Project outside of Workspace doesn't work,major
513,"[content assist] Content assist gains focus when ""activation follows mouse"" is enabled (via TweakUI extension)",minor
515,Debug View Stack Frames Disappear,major
516,NPE in DeleteRefactoring2,major
517,[formatting] Code formatter makes editor dirty even if it doesn't change anything,minor
518,[hover] Mouse Over in JavaDoc comment wrong,minor
520,setSuperclass(String superclassName) API of  org.eclipse.jdt.core.jdom.IDOMType interface does not work for null as Input,critical
522,Linked output folder deletes existing contents,major
523,Adding external jar to the Build Path of an existing Java project [build path],major
525,NPE in InstanceMethodMover while organizing imports [refactoring],major
526,compilation unit cannot be saved,major
527,End position of IType exceeds the size of CompilationUnit,major
529,"rename method does not ask for saving, misses refs [refactoring]",major
530,Junit plugin does not show  'com.clarkware.junitperf.TimedTest' test failiures [JUnit],major
531,[preferences] Edit Template dialog does not support Ctrl-A (=Select All),minor
532,Debug test failing on Linux,major
533,NPE inlining a variable [refactoring],major
534,[preferences][templates] NPE in EditTemplateDialog,major
537,Spelling on JDT Icons Page,trivial
539,java editor throws ArithmeticException when editor's displayed tab width=0,major
540,[typing] Indent does not works for CompilationUnitEditor inside of MultiPageEditor,minor
541,ClassCastException when opening classfile,critical
544,NPE while building,critical
546,[misc] Javadoc view: Should contain full signature of current element,minor
547,create constructors from fields: fooled by 'f' prefix [code manipulation],minor
548,Mnemonic clashes on new compiler preference page [build path],trivial
549,Compiler pref page: Unused X pref sounds too complicated [build path],trivial
550,[rulers] Warning hides error in vertical ruler and squiggles,major
551,Error creating new Java projects,major
552,Java Example Editor looses all non-basic editing capabilities,major
553,[reconciling] Squiggles after rename refactoring,major
555,extract interface: preview compare ranges wrong [refactoring],minor
556,[templates] Problem with surrounding a single line with a template,minor
558,StringMatcher.java could not be read (build all fails),major
559,JUnit status bar colors difficult for color blind user [JUnit],minor
560,"new project - java - location, gives xerces211 does not exist",major
561,Linked mode proposals: Can not select with mouse,major
562,[extract interface] Type mismatch [refactoring],minor
565,[misc] 3.0 M2 Quick Assist - Performance Problems,minor
566,Source for installed JREs is no longer automatically detected,major
567,JDT compiler fails to compile legitimate Java code.,major
568,"Extract Method Dialog: NPE from keyhandler in ""Parameters"" table [refactoring]",minor
569,NPE during Debug Session,critical
570,[formatting] Format Source not enabled when method body selected,minor
571,Improve error messages for debug communication preferences,trivial
572,Background color problem,trivial
573,[reconciling] java editor and problem view keep showing errors that were corrected,critical
574,Project properties > Libraries > Add Variable not functional,major
575,"Incorrect error detected: ""The method put is defined in an inherited type and an enclosing scope.""",major
576,Template preference page doesn't broadcast to property listeners,minor
577,"""Link with Editor"" in Java Outline should link on activation",trivial
578,NPE during manual incremental build of all projects,major
579,NPE during auto-build after load latest from CVS,major
581,[navigation] error dialog  on opening class file,major
582,NPE on commenting,critical
584,[misc] Eclipse cannot save or compile files in non-Java project anymore,critical
585,selection changes on commenting,major
586,missing @exception in javadoc of IPackageFragment.getNonJavaResources,trivial
587,Possible Compiler Bug ?,blocker
588,[hovering] Hovers need some space on the left,minor
589,[misc] Smart typing cursor does not immediately adapt to different font size,minor
592,QuickDiff provider name has & in preference list,trivial
593,Declaration View does not refresh when you change Java-code color preferences,minor
594,[syntax highlighting] hyperlink style navigation should respect font style,minor
595,[Automatic Javadoc/Comment Formatting] Gives an NPE,major
596,No reaction to F2 after Java Tooltip Hover showed up,major
597,NPE when displaying the result of an expression,critical
598,"""Open Type"" should not be case sensitive [dialogs]",minor
599,"[preferences] ""New Template"" and ""Edit Template"" dialogs margin spacing",minor
600,[misc] F2 does not work on symbols in comments,minor
601,[misc] The java editor is very slow for large java files,major
602,program arguments with whitespace not display in a good way,minor
603,Method popup extremely slow for JOGL code,major
605,Repeatable crashes if multiple breakpoints are hit in multiple threads,critical
606,unwanted indents after if()/for()/while()....,major
608,source format is broken on 3.0 M3 release,major
609,Move Static Field fails for multiple variables in the same FieldDeclaration,minor
610,OuterClass.this does not appear in code assist of the InnerClass,minor
611,Deleting a link to the external filesystem wants to delete files,major
612,Selecting Java Compiler settings in Preferences results in an error dialog,major
613,"Eclipse allows setting a source folder's parent as output folder, which wipes out source code",critical
614,Error accessing compilation unit while using code assist,critical
616,Eclipse  goes 100% cpu after project refresh in package explorer,major
618,Deleting a member requires save,major
624,application hanging when hitting a breakpoint,major
625,Formatting long arguments not very readable,minor
627,Search engine doesn't report all matches,major
628,Delete member in Outliner not working,major
629,no compilation if output dir does not exist,major
630,Javadoc info for content assist only shown once,major
633,Deadlock on shutdown,critical
634,Revisit FlushListener.UndoManager [refactoring],major
635,[misc] Backout workaround for bug 41583,trivial
636,Stepping through session bean is very slow in WSAD v5.1,critical
637,Background conflicts with syntax highlighting in Edit Template of code gneration [code generation],minor
638,Space inside JavaDoc HTML Tags cause wrong syntax color highlighting.,minor
642,synchronized follows generated delegate [code manipulation],minor
643,JDTCompilerAdapter doesn't find bootclasspath,major
644,IPackageFragment not updated after CUs have moved,critical
645,[misc] Annotations gone wild,major
647,[formatting] Error in formatting parts of java code snippets in comment,major
648,Deadlock on startup,critical
649,Package Explorer doesn't show new file,major
650,No refresh when deleting edited unit,major
651,NPE from DelegatingModelPresentation.getText with old expression,major
652,Source->delegate works only for public methods [code manipulation],minor
653,ClassCastException in JDIFieldVariable.getReceiver,major
654,Deadlock during jdt/debug test,critical
656,JUnit GUI terminates unexpectedly,major
659,inline call a field initializer: could detect self reference [refactoring],minor
660,inline method: arguments need to be parentized [refactoring],minor
661,Illegal code in the code formatter preference page [code formatter],blocker
662,Cannot specify output directory for Javadoc Generation using Custom Doclet,major
663,Forgets javadoc+sources attached to classpath variables,major
664,NLS Keys search page element order is confusing [search],minor
665,JDT uses its own book.css; does not have schema.css,major
666,NullPointerException compiling Java file,major
667,JavaElementLabels broken for nested anonymous types,minor
668,Extract Local Variable also on ExpressionStatements [refactoring],minor
671,"""Open generated file index in browser"" checkbox doesn't have effect",minor
672,NPE in enable test of MoveStaticMembersRefactoring [refactoring],major
673,New formater fails with out of memory error,major
674,[hovering] JavaDoc view confused by variables used in HTML link,minor
675,Option to force a build before a run,major
676,[highlighting] Current line highlighting should work together with selection,minor
677,Rename variable doesn't rename java docs,major
679,[browsing] Duplication of entries in package browsing view,major
680,[hovering] Marker tooltip position wrong for dual monitor setup,minor
681,[hovering] Mouse wheel does not dismiss hover,minor
683,"Source Formatter: When making preference changes, the editor preview pane should stay scrolled to where the user had it. [code manipulation] [formatter]",minor
688,Deadlock when trying to start runtime workbench,major
690,NPE while doing a search project references of a package [search],major
692,JDT compiler more restrictive than javac,major
693,[formatting] New Formatter does not respect non javadoc @tags lines,major
694,Hotspot initialization problem?,trivial
695,[syntax highlighting] Task Tags parsing bug,minor
696,[hovering] F2 in presence of hover fails to persist the hover,major
697,CCE when using declarations view,major
698,Problem saving in Java editor ( with project directory not in the default place),major
699,[misc] Java Editor on big files frozen for seconds after post selection,major
700,regression - content assist fails to present proposal,major
701,Commenting out java block causes eclipse to hang,critical
702,launching SWT based applications broken,critical
704,Performance Degrade,major
705,Eclipse doesn't launch under 1.4.2 DP1,critical
707,[misc] Editing error - loss of data,critical
708,terminating processes in debugger results in defunct java processes,major
709,PasteActionTest#test2 failts,major
713,Not collecting all tests when running all tests in source tree [JUnit],major
714,[typing] String constant split/auto-indent leaves carriage returns in file,major
715,Java compiler settings in WSAD,major
717,[Preferences] JRE Type always shows as Standard VM,minor
718,Crash in a step over action in debug session,critical
719,[misc] Opening StyledText in java editor is really slow.,major
720,[navigation] Outline prompter is slow,major
721,[Compiler] NullPointerException with ? operator,major
722,[reconciling] Need a save synchronization method to ensure transactional updating of problem requestor,major
723,[typing] Tabs are messed up,minor
724,Hang while adding interfaces to new class,major
726,Lost all my Installed JREs,major
727,Superflous : on compiler preferences dialog page,trivial
728,quick type hiearchy: affordance caption is swapped [type hierarchy],trivial
729,Opening Java Browsing perspective add log entry: Unable to find view label: org.eclipse.debug.ui.ConsoleView,trivial
730,[find/replace] Find/Replace has Find button disabled,major
731,NFE cause crash while debugging,critical
732,[Builder] Build output folder not getting flushed because files are not marked as derived,major
734,[Builder] suspicious side-effects during incremental compile,major
735,[content assist] Pressing Semicolon to commit content assist bypasses smart semicolon,minor
736,[formatting] formatting adds extra tabs and line breaks,major
737,Call hierarchy do not mark abstract methods with an overlaid “A” image,minor
738,Restore defaults incorrectly sets launch configuration as dirty,minor
739,[typing] Paste inserts partial string,major
740,Unknown stack frame info in Workbench startup thread,major
741,Generate Javadoc dialog lays out too wide [javadoc],minor
745,[JUnit] Double click in stack trace doesn't work with M5,critical
747,[navigation] M5 performance problems when scrolling using arrow down,major
748,[formatting] Comments formatter inserts tabs when it should use spaces,major
749,Externalized Strings key refactoring ability [refactoring] [nls],major
750,Generate Getter/Setter not functional in M5,major
751,[misc] autocomplete disabled when changing read-only status,critical
752,"Unable to ignore '*,D' files [filters]",minor
753,JUnit view leaks 2 Colors,major
754,Syntax coloring for multiline comments cannot be changed,minor
756,Smart Indent is productivity negative; std indent insufficiently functional,major
758,[formatting] Need preference for font-dependent formatting,minor
760,Javadoc: NPE during build process,major
761,Compiler does not resolve references in static init blocks correctly,critical
762,Refresh on projects / packages lost its magic,major
763,Bug in jar exporting [jarcreation],minor
764,Smart semicolon with selected text,trivial
765,Refactor (rename) package name does nothing,major
767,Javadoc incorrect warning for wrapped links,minor
770,"Extract Interface does not add import with ""Change references...""",minor
771,NPE in Type hierarchy,major
773,task view does not update contents of tasks,minor
774,[Java Editor] fails to open using platform-ui module from head,major
775,strange behavior during Code Generation for an incorrect import statement [code manipulation],minor
776,show selected element only is permanetly disabled!,major
777,Extract Constant refactoring: proposed name,minor
778,[Responsiveness] Editor freezes while inserting code in large compilation unit,major
779,No mnemonics on Type Filter preference page,trivial
780,New Code Formatter pref page: Edit should be allowed for predefined profiles [code formatter],minor
781,New Code Formatter prefs: Line Wrapping: missing mnemonic [code formatter],trivial
782,New Code Formatter pref page: White Space: Mixed capitalization [code formatter],trivial
783,New code formatter prefs: java.lang.ArithmeticException: / by zero,major
784,Exception in 'Change then statement to block' QuickFix,major
785,New Code Formatter profile dialog has no mnemonics [code formatter],trivial
788,Compiler > Javadoc pref page has no mnemonics [build path],trivial
790,Unnecessary mneumonic on the Edit JRE dialog,trivial
792,keyboard hangs/ mouse icon shape won't change,major
794,JUnit view slows down the execution of unit tests. [JUnit],major
796,Performance problems due to background activity,major
797,"[formatter] javadoc line wrapping different than what ""source-format"" does",minor
798,Spelling mistake in the FORMATTER_INSERT_SPACE_BETWEEN_EMPTY_ARGUMENTS string constant,trivial
799,formatter fails on empty statement between package and imports,major
800,[misc] Save in Editor is slow,major
802,[formatting] comment formatter leaves whitespace in comments,minor
804,Deadlock saving compilation unit,major
805,Subversion directories treated as resources,major
