,summary,severity
116,Popup blocking ignores javascript window open commands for sites in the accept list,major
119,"Bookmarks toolbar text drawn in black, not foreground colour",minor
120,No hand cursor over links on Windows 95 and NT4,major
121,This website crashes phoenix,critical
122,can't access webmin,major
123,Image displays sometimes but fails to display other times,major
124,Phoenix crashes trying to display the demo page.,critical
125,can interact with page while customize toolbar dialog open,minor
128,huge rendering error under not so uncommon legit situation,major
129,Unable to right click toolbar bookmark when bookmarks are under the Chevron,minor
131,Cannot input Japanese characters,major
133,Bitmap has wrong colors,trivial
134,"Uninstalling theme removed it from list, but doesn't delete jar",minor
135,Go -> History doesn't become checked when History sidebar is open,minor
137,garbage characters appear in title (long title to blame?),trivial
138,ctrl+enter should update URL bar immediately,minor
140,crash if I try to manage bookmarks or open onto toolbar tragged bookmark button,critical
144,"These pages rendered ok until I installed 0.5: gentoo.org, arstechnica.com",major
145,Select User dialog box shows a duplicated user when only one has ever been entered,minor
146,Wrong favicon.ico displayed (eg. a toolbar icon for BBC will show Yahoo!'s icon),trivial
147,View > Character Encoding > Auto-Detect options are confusing,minor
148,"first tab appears ""inactive"" even if selected",minor
149,White rectangle appears after drag&drop of text into the personal toolbar folder,minor
150,CRASH: Phoenix upon loading the url,critical
151,Cookies not saved on browser exit,major
152,Entire history lost after Phoenix crashes,critical
154,Web page doesn't display in Phoenix only (displays in Mozilla),major
155,Browser crashes as soon as page is loaded.,critical
157,Crash when Ctrl+L is pressed immediately after pasting into an HTML Input/Edit box,critical
159,consistent page fault in MSVCRT.DLL on site,critical
160,Browser crash when doing a Right Click>View Page Info>Forms,critical
162,Shift+Ctrl+G (Find Previous) doesn't work,minor
166,Table appears with the first and second column offset from the rest of the columns.,major
167,Clicking on help related link brings up popup window but no data is displayed window is blank.,major
168,crash in Add Bookmark/Create in: drop down list,critical
169,"white page displayed when following the link ""FahrplÃ¤ne"" on www.hvv.de (index2.html)",major
170,Dialog buttons too close to content above them,minor
171,Browser crashes when logging in to t-mobile.com,critical
172,"Page comes up blank in Phoenix 2003-01-08, AOK in 0.5 release",major
174,Print preview in phoenix does not seem to call |InitPrintSettingsFromPrinter| / |InitPrintSettingsFromPrefs| when switching to print preview mode,major
175,XML error trying to manage bookmarks,blocker
176,"Page Info doesn't list any content (media, link, forms)",major
177,a php page doesn't load if it uses function session_start(),major
178,Regression: Type Ahead Find Autostart pref has become unset,minor
179,client javascript gains access to windows password,major
180,Browser exited when clicking on bookmark,critical
183,Phoenix always crashes when I try and open this site.,critical
184,Xft enabled phoenix crashes on pages with javascript.,critical
185,pagesjaunes.fr - crash on Phoenix 0.5,critical
187,Phoenix crash systematicly when I print a page,critical
189,Crash on certain URL (Phoenix-specific),critical
190,URL bar drop-down does not collapse on second click on down-arrow,minor
191,Empty bookmark folders should show '(Empty)',trivial
192,When going to this website (or most any other site using xoops) Phoenix just closes with no warning.,critical
193,Textbox crash - FF10PR1 [@ nsAutoCompleteController::HandleText] esp.JA-IME,critical
195,Tabbed Browsing Bustage,major
196,Extensions Settings Window should be resizable,minor
198,Phoenix 20030223 crashes when using a menu on a site.,critical
200,"Reopening multiple Tabs when clicking ""Home"" and multiple homepages selected",minor
201,phoenix won't open sites with password stored in the password manager since Script defender is installed,major
202,Can't view page source,major
203,bookmarks don't work with first window opened with bookmark manager,minor
204,Trapping onkeydown event crashes Phoenix,critical
205,Phoenix crashes when trying to view this Bugzilla attachment (image),critical
207,"pop-up icon should appear in status bar before ""about popup blocking"" appears",minor
208,phoenix 2003-03-08-14 win32 build crashes when starting,critical
210,browser.enable_automatic_image_resizing is set twice in all.js,minor
211,Add to Bookmarks or Bookmark this Page?,trivial
214,"Unable to ""copy link location"" from history sidebar",minor
215,Unable to add bookmark from history sidebar,minor
216,Popup blocker bustage,major
217,Title tips (tooltips) flash on Bookmark & History Sidebar,minor
220,Phoenix crashes when a window with a Macromedia Shockwave Flash document is maximized,critical
222,Stored password entered whenever a javascript prompt should come up,major
224,Add Bookmark Dialogue Box doesn't clear,major
226,can't close dialog after removing cdrom,minor
227,"Loading a fark.com PShop, lot a GIF 's and JPEG 's eats lots of RAM, I SCROLL down while page LOAD s... hd thrashes, probably eats up SWAP ... CRASH es",critical
228,Crash when starting up Firebird,critical
231,"freeze when I click in the URL bar, highlight text in the URL bar, or try to type text in the URL bar",critical
237,when choosing to Block Popup Windows the option does not stay checked,major
238,URLs without descriptor do not remain in address bar drop down list,minor
239,"Phoenix crashes upon visiting any page after downloading and successfully installing the ""Java 2"" plugin.",critical
240,Phoenix crashes for some odd reason,critical
241,Right-handed Rename icon,trivial
243,Middle-click on Bookmark Toolbar Folder is ignored,major
245,Missing titlebar text in Bookmark Manager,minor
246,Phoenix xrashes when clicking on a link in the left menu and dragging downward,critical
247,Unable to search in page-source,major
248,Text entry problems,major
251,Bookmarks context menu stays when clicking other menus,minor
252,XML-parsing error in about:,minor
254,"can't scroll with space bar, cursor keys or PgUp/PgDn",major
256,meta-refresh to self (dynamic page) causes refresh dialog to appear,major
257,"Rename ""addressbar"" to ""Location Bar"" in description  of Bookmarks>Quick Searches",trivial
259,when trying to access tools > Options phoenix freezes and can't be closed (other than killed),major
260,"back/forward menu items get activated when hovering ""This frame"" in frames context menu",minor
262,No cursor change over resizable image,minor
263,"""Links"" should not be capitalized for ""Open Links in the background""",trivial
264,Duplicate accesskeys in Bookmarks Manager toolbar/menu,minor
265,It is possible to circumvent the maxlength property of an input field by exploiting autocomplete.,minor
266,Changing URL hash (named anchor) makes proxy icon undraggable,minor
267,Mozilla Firebird constantly crashing on ford.com,critical
268,auto-complete dropdown menu appears in wrong tab,minor
269,"Selecting menu item ""Phoenix"">""About Mozilla Firebird"" does not produce an about Firebird dialog box",minor
270,Localization problem. When you install a new extension the text for 'Disable Extension' and 'Enable Extension' stay in english even with a french locale installed,minor
272,crash on startup if window opens over xterm and I was typing something in the xterm,critical
273,Bookmark a link in history results in a bookmark without location,minor
274,Crash or hang if Mozilla Firebird gets started with fresh profile,critical
275,Submit form pops up javascript alert and hourglass but does not submit,major
279,Printing produces wrong results,major
280,search toolbar forgets engine if called from path with wrong case,minor
282,"""Set as Bookmarks Toolbar Folder"" does not work.",major
283,Firefox crashes/quits on startup,critical
285,strange printing behaviour,major
287,Firebird (0.6) does not run with Linux distribution Knoppix 3.2 (Phoenix (0.5) works fine),critical
289,Default theme preview image extends past container,minor
290,Page on bbc.co.uk Crashes Firebird when Printing or Print Previewing it,critical
291,Clicking Go button with a bookmark keyword expression in URL/location bar does search instead,minor
292,Cannot disable HTTP 1.1 support,major
295,"if bookmarks.html is a symbolic link, the link is destroyed after running firebird",critical
296,Unblocking Images from a Server does not change the text in the context menu,minor
299,Bookmarks on menu bar don't work after opening new window,major
300,Can't set many non-Western fonts (need port from xpfe),major
303,"Drop down box is only  2 letters wide. IExplorer, Netscape 7 and Communicator 4.8 are okay.",major
305,Reload does not work without clearing cache,major
306,"""Clear all"" doesn't clear out browser's history",major
311,Bookmarks bar breaks when inserting chrome elements while loading,major
312,Complete system freeze,critical
313,deleting bookmarks causes browser to freez,minor
315,"Runaway ""open in new window"" action on loading the ""news://..."" url above, requiring forced shutdown.",major
319,MozillaZine forums moved,minor
320,{Find in this page} is broken,major
321,flash plugin shows as installed but wont load flash media,major
322,Won't let me login,major
325,tab #1 doesnt show 'Loading...' when new tab opened,minor
326,"""Paste"" is not possble after a ""Cut"" on GTK2 build",major
327,Clicking *.cfm link causes Mozilla Firebird to hang,critical
328,"clicking button ""Close"" in print-preview results in normal browser view of page but with toolbar of print-preview instead of main menus/toolbars [using German build: Close-button is called SchlieÃŸen]",major
329,"freezes and dies on viewing the site, eats up all system resources.",critical
331,Visiting apple.com causes CPU Usage ~100%. Closing the last open Window doesn't kill Firebird,critical
332,Bookmarks Quick Search fails to open matched item,major
333,Extensions and themes lists are blank,major
334,Right-clicking a file within a bookmarks folder in the bookmarks menu or toolbar makes that folder inaccessible,major
335,collapse and expand does not work if you right click on Bookmarks folder,minor
337,"""Illegal instruction"" error message on startup",critical
338,Buy.com:  logging in opens tabs and forces multiple attempts to log in,major
339,bookmarks not displaying at all.,major
340,Uploading an attachment to Yahoo or Hotmail messages never completes,major
341,Some left (double) clicks on the bookmarks toolbar folders are ignored,minor
342,Profile Manager does not see/use/remember existing profiles that are not the default / only uses default  or default user profile,blocker
345,when similitaneous clicking on the middle and left mouse buttons autoscroll icon does not disappear,minor
347,"Double-clicking item in ""set homepage"" -> ""use bookmark"" list should close dialog",minor
348,Form Autocomplete not working in Firebird 0705 onwards,major
349,checkbox.xml got included twice in toolkit/jar.mn,minor
350,reference to inexistant findBookmark.xul in bookmarks.js,trivial
351,Popup Whitelist is not displaying sites from cookperm.txt in listbox,major
352,Cancel on new bookmark/folder removes focus from bookmarks view,minor
353,Arrowing into form autocomplete dropdown updates autocomplete (often making the dropdown disappear),major
355,http://foo/bar/ default save name should be bar.html,minor
356,can't save the encoding i choose as the default,major
357,"Stop to load a page when changing tab or using ""open in a new tab""",major
359,crash as soon as try to get any kind of help; clicking on any link on URL causes Firebird to crash,critical
361,process hangs around after all windows are closed,critical
362,Autoscroll prevents middle clicking on links in XML (XHTML) documents,major
363,"does not display the page properly, constantly reloads because of advertisements on the website",major
364,browser crash,critical
365,Mouse wheel autoscroll not stopped by rotating the wheel or pressing a key,minor
366,"Prefix ""http://"" and postfix "".net"" is added even if url is already fully qualified",major
368,browser freezes during printing,critical
370,Firebird crashes in gtk_xtbin_resize(),critical
371,Alt+Enter on a link should save,minor
372,Hide Incompatible Themes,major
374,following this link crashes firebird,critical
375,it works with IE but not firebird.  I can not see why.,major
378,throbber is too big for menu bar,trivial
379,crash when clicking tools - options - extensions - settings,critical
380,[INSTALLER] Windows Installer,major
381,Localize FE,blocker
382,Pressing home in search text box goes to start of line (if multiline) and not start of text,minor
384,crash if I open the http://www.startribune.com website in a new tab,critical
385,Editing url field does not work any more with 0.6.1,major
386,Fonts section forgets settings when switching to other sections,minor
387,Frame border always appears even with HTML code telling it to display otherwise,major
389,Default theme fails themeVersion check,major
392,crash after clicking the IMG link in the table which describes html 4 tags,critical
394,"Clicks discarded when right click menu shown for flash and an alert pops-up (context, dialog)",minor
395,mac firebird toolbar contains bookmarks that refer to phoenix,minor
396,can't add bookmark while page is loading in background,major
397,URL Crashes browser 100% of the time.,critical
398,Checksum Error on download source,major
399,Firefox crashes after installing a new theme,critical
400,crash on win2k3 when I attempt to print.,critical
401,"When trying to run a ""Java-page"" browser freezes w/ ""Assertion failed!""",critical
402,Firebird crashes when printing with long printer names in windows server 2003,critical
404,"when I click bookmarsk or file or whatever and then click the navigation bar, the dropdown boxes stay down, clicking somewhere doesn't work",minor
405,unable to import/export bookmarks unless a folder or bookmark is selected,minor
406,No policy shows up when you view the cookies,minor
407,"browser does not show updated page, even with Shift : reload",major
410,Options box doesn't properly take on GTK2 theme,minor
411,javascript history doesn't works ok if you returns using back button,major
412,About box text is invisible when OS system colors set to white text,minor
414,"Please click on Astrology on the left Menu, Firebird will crash. Repeatable crash.",critical
415,"if bookmark description = keyword, custom keyword breaks",minor
417,adding favicon to the bookmarks depending on the meta-data <link ... >,trivial
420,WinXP Start menu/Internet icon for Firebird shows Mozilla Seamonkey icon,trivial
421,Scrollbars oversized due to operating system's theme.,minor
422,http://www.castorama.fr freeze Firebird,critical
423,Firebird crashes when calling mp3 player from Live365 player window.,critical
426,The given URL lets MozillaFirebird crash (unknown reason),critical
428,status bar icons should have tooltip explanatory text,minor
430,"Frequent crash after ""back""ing off a quicktime video",critical
433,URL bar autocomplete ignores mouse clicks,minor
434,"Opening a new tab has ""about:blank"" in the URL bar",minor
435,Text box entry impossible or ineffective,major
437,"""Copy Email Address"" doesn't unescape or strip leading space",minor
438,crash on load of this webpage. completely shuts down firebird,critical
439,"in winxp taskbar button with a window keeps blinking no matter if it's minized or maximized, has focus or not. cannot stop blinking",trivial
440,"Gtk2+XFT builds crash, regular build is okay",critical
441,"unchecking ""remember password"" doesn't prevent ""remember this password?"" dialog",major
444,Firebird crashes if I try to print page,critical
445,bookmark scheduled updates do not occur,major
446,Javascript prompt default value is ignored,major
448,Application crashes,critical
449,It asks for a program to open the temporary file with.,major
453,periodic crashes where it claims no disk in drive,critical
454,"New tab created by double-clicking on tabbar still has ""about:blank""",minor
455,Opening Preferences dialog crashes Firebird,critical
456,password manager is completely broken starting 20030818,major
457,Autocomplete presents wrong options in blank textfield.,major
458,"no basic auth login dialog, login denied",major
461,Cannot print - XML Parsing Error: undefined entitiy in printProgress.xul,critical
462,scrollbar accepts no mouseclicks after clicking in cookie dialogbox,minor
466,crash when I try to visit www.blogger.com,critical
467,crash if click on most links,critical
468,crash while the site's main page is loading,critical
469,"after system restart, bookmarks created during previous session no longer exist",minor
470,Double-clicking executable and nothing happens,major
471,CTRL+K does not place the cursor in search bar under certain conditions,minor
473,"Repeatable, full browser crash on viewing http://www.dyslexiainlondon.ik.com/",critical
475,Import of bookmarks fails,major
476,"Open tabs, left click, move the mouse and Firebird CRASH",critical
478,you can't disable cookies,major
479,The stored cookies window doesn't remember its size anymore.,minor
480,settings in Options-Web Features are not retained,major
481,"Choosing Save Page, Image, or Link as... does nothing (Mac only)",major
484,DevEdge Multibar sidebar causes Firebird crash when switching back to Bookmarks sidebar,critical
485,mail.com - Crash when clicking Inbox link in left frame,critical
486,Get new Extensions/Themes no longer looks like a link,minor
487,Firebird no longer opens when shortcut or acctual file is clicked on,major
488,Web FTP does not work,major
489,bookmark keywords ending in space or containing spaces aren't recognized when used with search terms (smart keywords),minor
491,Flash Plugin Not Recognized,major
493,"when i go to the url, it says ""Transferring data from accessplus.iastate.edu"" and freezes",critical
494,Search bar gone because user messes with interface,major
495,Side bar inconsistency: single-click bookmark vs double-click history item,major
496,crash if I hit back button after viewing a pdf,critical
497,Selecting Privacy Preferences crashes Firebird Mac OS X build,critical
500,Firebird will not quit immediatley if the window manager requests the last window closed,major
503,Cannot open Tools>Options or Manage Bookmarks - error: XML parsing error: undefined entity,major
504,Select All command in View Page Source Edit menu is greyed out,minor
505,advanced options: expanding/collapsing fun,minor
506,Password manager crash going Back to vons.com,critical
509,annoying with username/password window frequently while browsing,major
510,crash on (re)load of mapy.centrum.cz,critical
511,"After clicking on MyEbay, Mozilla closes",major
512,firebird terminates before showing anything.,critical
514,firebird crash when visiting certain webpages.,critical
515,I don't see the Java Applets in Mozilla Firebird 0.6.1,major
516,"Taskbar shows old Mozilla Lizard icon when ""Group similar taskbar buttons"" is enabled in Windows XP",trivial
517,Should not be able to use Firefox for Open With,critical
518,Customizing icons size several times turns icons to small,minor
519,"The instruction at ""0x00568bbd"" referenced memory at ""0xffffffff"".",critical
520,Firebird is ignoring the browser.urlbar.clickSelectsAll setting,minor
521,crash after submitting form,critical
522,browser crashes,critical
523,"keyword query with trailing ""/"" slash fails; keywords ""www"", ""http"" ignored",minor
524,Firebird hangs on random POSTDATA refresh warning,critical
525,Bookmark keywords stopped working after bookmarks rearranged,minor
526,Mozilla Firebird freezes entire Linux system when tabs are dragged,critical
527,"Crash on Motley Fool ""Replies to your posts"" page",critical
528,Firebird crashes immediately on loading home page of geocaching.com,critical
529,"crash on load of webpage, java is turned off but javascript is enabled",critical
530,Segmentation Fault when starting up Firebird,critical
531,"After closing history sidebar, search results remain (but search text does not)",minor
532,after installing flash7player firebird turned into simple mozilla with disabled most features,major
534,"I have w2k with admin and user accounts, where user has restricted permissions, firebird hangs when started",critical
536,went to print webpage using Epson Stylus Photo 785 EPX....browser repeatedly closed....repeatedly offered to send an error report to netscape,critical
537,F11 restore doesn't restore toolbar/borders,minor
538,Hiting Alt-Enter in url location doesn't work,minor
540,Hide Root Bookmark in bookmark manager,trivial
542,Closing tabs sometimes closes Mozilla Firebird,major
543,can't focus textbox usually when opening several links in tabs,minor
544,Running Mozilla for An Extended period will cause Hard drive to lock up,critical
545,javascript: typeof window.sidebar returning 'undefined' instead of 'object'; adding mycroft searchplugins broken,major
546,general.useragent.override does not apply until restart on first change,minor
548,Display error where background application is visible and Firebird is not,critical
550,"Tooltip over arrow next to Back button erroneously says ""Go back one page"" (instead of something like ""show drop down"")",minor
551,"Machine crash when open an html file with more than 1,5 Mbytes",critical
552,Flash will not display at all in Firebird,major
553,Starting Firebird gives 100% CPU usage,critical
554,firebird crashes after trying to install qtime components,critical
555,Can't switch between engines in search bar,major
556,"Was ""Close Button fails after upgrade"" (now everything locks)",major
557,sometimes crash when I try select text,critical
558,"localization issue in browser-menubar.inc: hardcoded menu label ""Window""",minor
559,preferences/options not being saved,major
560,Firebird crash when loading page.,critical
561,Unable to start Mozilla Firebird application on Win XP,major
562,Unable to type text after opening About Mozilla Firebird in Help,major
563,Mouse click on file:/// entry in URL bar drop down prepends http:// and appends .com and .org,minor
564,Browser freaks out/hangs when loading fark.com page containing lots of images,critical
565,mozilla-firebird-0.6.1 hangs when URL icon is dragged too low,critical
568,crash every time I enter the URL http://www.dishnetwork.com,critical
569,Cmd-Enter and Cmd-Shift-Enter should work like win/lin builds,major
570,New window uses small icons even though original window has large icons,minor
571,"Wrong text when chosing ""Do this automatically for files like this from now on"" on mac OS X",minor
573,When trying to connect to various websites I get this type of message:  The connection to www.us.army.mil has terminated unexpectedly. Some data may have been transferred.,major
574,Obsolete root certificate,major
576,left mouse buttons grabs extra chars when used for cut/paste,minor
577,bad cpu usage and severe lockup - cumulative in terms of hours,critical
580,Firebird crashed while Shift-Alt-Double click,critical
581,"Loaded pages randomly start to bounce or flicker, similar to that java ""joke""",major
582,Trying to load pages from disk cache when it should not,major
584,After this window opens Firebird crashes,critical
585,New bookmarks toolbar folder is prepended when originally already exists.  Bookmarks Toolbar is blank.,major
587,"Bookmarks toolbar temporarily cleared when clicking ""Restore Default Set"" in customize mode",minor
588,Firebird crashs on a special website (see attachment),critical
589,incorrect highlighting of icons in Tools > Options,minor
592,View Source is broken,major
593,Program freezed up computer when I visit this page,critical
595,Form submits fail,major
596,Firebird crashes when I try to start it.,critical
597,"NON-BONE and ""Tilded"" ~ adress",major
598,Firebird fails to start,critical
599,crash following attempt to close any opened PDF/Acrobat files,critical
601,"many links opened in new tabs  ""too"" fast will never finish loading",major
603,crashes when trying to render the page.  It kills all open copies of MozillaFirebird.,critical
604,Firebird Autocomplete component needs a default owner/assignee,major
606,Unzipped and started; Screen shot says it all.,major
608,Firebird crashes when I try to login to my Hotmail account.,critical
609,Keyboard input is disabled after viewing a dialog,major
611,getting this error after a form on a webpage was used,major
612,[View|Toolbars|Customize] corrupts toolbar text,trivial
613,firebird crashes if I press the home icon after logging out of my ISP's webmail program,critical
614,crashes on reloading the web-page,critical
615,Drag and drop of 5 or more bookmarks/folders crashes Firebird,critical
617,"when changing themes from SkyPilot to BlueMonkey, toolbar (i.e. back, forward, etc.) displayed twice on same row; change in skin from BlueMonkey to SkyPilot does not occur until browser restart",major
620,Options dialog assumes white background/black text colours,minor
622,New Bookmark or new Folder in Manage Folder control allocated in the wrong place,minor
624,Firebird's toolbar scrambles when Internet Explorer is open,minor
625,Accessing to a password restricted MS Proxy causes a crash related to secure32.dll,critical
628,Crash if i visit a page with binary codes,critical
629,Crash if I open the above page.  There are a number of pages like this.,critical
630,"""System error?:: Interrupted system call"" when opening browser",critical
631,Crash when surfing to http://www.ocremix.org/ with javascript turned on.,critical
632,Cut/Copy/Paste keyboard commands (Ctrl-X/C/V) from address/location/URL bar fails,major
633,"java applets don't start, displays I need a java plugin",major
634,crash when opening url from other application or opening local html files,critical
635,Firebird cannot read Javascript functions that open programs.,major
637,Java applets not working and plug-in installation not working.,major
638,crash if I click on some links,critical
640,large history makes Firefox painfully slow in several ways,major
641,crash if I open homestarrunner with alsa when I move the mouse,critical
642,this URL crashes Firebird 0.7 on MacOs X but not Mozilla 1.5 on MacOs X,critical
647,Bookmarks toolbar is blank when opening new window,major
648,Using webmail to send an email causes Firebird to not respond and increase it's memory usage.,critical
649,User must own files to run Firebird when extensions installed,major
650,Firebird crashes when starting up,critical
652,page up hangs on one image if image is too big for screen,major
653,file>new window does not work at all,major
654,no toolbar anymore in print preview,major
655,"view page source and view selection source are broken, xml error displayed instead",major
656,"Firebird doesn't show lines of text (in webpages) containing a "" symbol.",major
657,Images not appearing,major
658,crash when trying to remove a book from my Safari account,critical
659,Firebird incompatible with Squid/transparent proxies,major
661,[Mac OSX]About dialog copyright info window backgrounds immediately,minor
662,"page setup, print preview and print are broken",major
663,crash on loading the KlipArt website,critical
664,Javascript will crash Mozilla Firebird,critical
665,mozilla hangs and stops responding when i click any of the menu buttons,critical
666,"crash if  I click on ""shown here"" link in left column third the way down on 2nd page",critical
667,javascript opening a new custom-sized window crashes the browser,critical
670,Installation of Sidebars  fails,major
672,Clicking on Javascript menu crashes Firebird,critical
673,Don't expand typed bookmark keyword query in URL history,minor
674,crash when I go to http://www.junghans.de after installing java plugin,critical
675,Save as doesn't work,major
676,onclick incorrectly adds chrome:// to a location.href javascript request,major
679,Option in File menu to close tab is present when only one tab is open,minor
680,Local HTML file opens with Composer instead of Navigator,major
681,Site causes browser to hang when any flag link is clicked.,critical
682,crash if I try to hit www.debian.org,critical
683,Firebird crashes when accesing Privacy options and certain web sites,critical
684,"sporadic crashing of the browser when i either add a tab, delete a tab, or change tabs.",critical
685,"instant shutdown on some URLs, cannot establish cause",critical
686,"Firebird lost ability to load Java plugin, install does not help, Plugin present",major
687,bad url msgbox is handled as web-style popup by popup blocking,minor
689,search bar is unusuable if the specified searchplugin is not found,major
690,"Some sites cause Firebird to freeze, then FB must be killed",critical
693,page keyboard focus resume off by 1 after hotkey navigation to toolbar or sidebar and back,minor
694,firebird stop responding on page load,critical
699,Can't use a bookmark as my homepage,minor
701,Crash if page contains Chinese characters,critical
702,bookmark properties : fields are centered,minor
705,Draw Problem,minor
706,Tools Options Privacy settings not saved with installer version,major
707,"computer crash, freeze when I use navigation links(javascript)",critical
708,Net timeout error while connecting to login.yahoo.com - works with IE,major
709,Task manager shows MOZILL~1.EXE instead of MozillaFirebird.exe,trivial
712,Bookmarks not working in BeOS build,major
713,"Unnecessary mouse clicks required when using ""but ask before accepting"" option",minor
714,"After switching from Text to Icons in toolbars, icons are small",minor
715,dom inspector is broken in 11/16 zip build,major
716,cannot open source,major
717,file types/helper apps and plugins lists are empty; helper apps fixed,major
718,Crash on cube.ign.com - xpcom.dll page fault,critical
719,"After downloading Java plugin and restarting browser, it still asks me to download it!",major
720,"""bookmarks toolbar"" does not function.",major
721,Entering any character into a form box on any web site would crash mozilla instantly.,critical
723,Crash while opening http://www.ixbt.com,critical
724,Firebird won't open when I click on a link from other programs,major
726,Need Window icons for Microsoft Windows,minor
727,Will not startup if Thunderbird is running,critical
728,Mouse wheel does not scroll when using border-top style on document body,minor
729,"When the browser attempts to load the HushMail.com Encryption Engine, it sliently crashes.",critical
730,Sidebar grippy remains visible after closing sidebar opened from bookmark,minor
731,crash when clicking 'Aus unserer Werbung' on http://www.woolworth.de/de/,critical
733,Single-click select in location bar does not copy URL to primary clipboard,minor
734,crash in print preview scaling plain text,critical
735,Multi-selection form boxes autoscroll to the top,major
736,locks up system on startup,critical
737,mozilla firebird stop responding if i try to go to a URL and crashes when i click Tools->Options->Privacy,critical
