,summary,severity
256,Failure to dereference function calls after a . or an ->,major
257,Endless loop in dependency checker,major
258,Importing a cdt 1.1 project doesn't upgrade it,major
259,Deleting symbolic link in workspace doesn't force dependency recalculation,major
260,cdt installation fails,blocker
261,Managed Make: Dependent project rebuilt too much,major
262,Need to troubleshoot Search UI to understand results,major
263,Outline View : CModelBuilder quits on templated friends,major
264,Content Assist Doc change,major
265,"Managed Make: Circular project dependencies cause endless ""Building..."" loop",major
266,double-clicking on error message goes to wrong file,major
268,syntax highlighting of C++ files in a C project,minor
269,"Symbol Definition (-D) requires ""=1"" for some reason (GCC)",minor
270,Can not distinguish between multiple executables when selecting in launcher.,minor
271,Search only work on perfect code,major
272,State integrity problem when restoring default values on the 'C/C++ Build' window of the project properties dialog,minor
273,make arguments not being echoed to the console,minor
274,Selecting in the Outline hides all Editor Content in the file but the selected,major
275,refactor IScanner to allow use of Readers of IResource,major
277,MIException while creating MISession can leave an orphan gdb process.,minor
278,Performance Problems when debugging,major
280,Workflow problem when using CDT + source control,major
281,Intermittent perf problem running compiled binary,major
282,Changing binary parser will cause project to disappear,major
283,Cannot open makefiles in the editor,major
284,C-Editor not working,blocker
286,Launches which abort due to missing configuration items cause NPE,critical
287,Exception when selecting Debug... menu,minor
288,NPE when setting a breakpoint to a running program.,major
289,"Debug View shows Functions as func(type param,...)()",minor
290,"Debug View shows Functions as func(type param,...)()",minor
291,No file entry in popup window for project,blocker
292,NPE when hovering over expression that is not in the current context,major
293,Search fails in StandardMake project,major
294,CDT seems not to appear in Eclipse,major
296,Open External File doesn't work with C Editor,major
297,CDT failes to install: plugin and it's features unreachable,major
298,Standard Make Project update fails when project on disk is not in sync,major
299,ScannerInfo setting on project are not auto-updated,critical
300,lazy evaluation in indexer causes code assist to block for a long time,major
301,"Usability::Cannot 'easily' open .xml, .html, .bat, .pl  files in CDT editor",minor
303,Wrong completion node after a . or an ->,major
304,NoSuchMethodError on build Managed Make project,critical
305,Debug fails to launch on 1.2.1M1 build,blocker
306,Eclipse Crash,critical
307,Eclipse Crash,critical
308,Launcher: Debugger tab: variable tracking,minor
309,C-Build not updating in the first compilation.,minor
310,Editor can't open if code contains certain syntax (GCC),critical
311,FAQ should exclude support for Win98 for CDT 1.2,major
313,Parser appears to hang on code involving for statements,major
314,Deadlock when changing binary parser & binary runner is running,major
315,Accessibility-Duplicate Mnemonics on C/C++Editor page,major
316,[Parser] AST interfaces needs to be updated to provide signatures,major
317,CDT disappearing from Eclipse after installing,critical
318,"Rename ""eclipse"" directory and eclipse.exe does not load anymore",critical
321,I can no longer debug ARM embedded w/CDT,major
322,Visibility is incorrectly decided in inheritance,major
323,Need access to internal class CElementImageProvider,major
324,Need access to internal class CViewSorter,major
325,Freezes when opening / saving .c file,major
326,I18N: Debug strings needs to be externalized,major
327,I18N: org.eclipse.cdt.make.ui needs to externalize strings,major
330,MakeTarget invokes only make builder disregarding the rest,critical
331,ClassCastException when deleting items other than make targets in Make Targets view,trivial
332,NPE when trying to instantiate a CBuildConsole with non null id,minor
335,Indexing speed needs to be increased,major
336,I18N: org.eclipse.cdt.ui needs to externlize strings.,major
337,"Opening a closed project from the Navigator window of the C/C++ Perspective silently fails, ""Invalid thread access""",minor
338,[Content Assist] Context-specifics are not considered when completion list is requested,major
340,[Content Assist] Parser does not strip class qualifier from method name in class declarations,minor
341,IContainerSymbol::removeSymbol() required,major
343,Stack Overflow while searching declarations,major
344,"I18N: NL pathname causes ""Error launching builder""",major
345,I18N: Outline view doesn't display method name correctly,minor
346,ast.complete.IASTClassSpecifier#getDeclarations returns an empty iterator,major
347,Can't launch make in Windows 98,major
349,Managed Make: schema prevents listOptionValue in optionReference,major
350,Crash when displaying (invalid?) expression in debug,major
352,[New Class Wizard] Be able to configure new class wizard to not open source,major
353,There is an extra parse in the CDT that is not needed,major
354,Unable to Build CDT from command line,major
355,"[Parser] indexer ""hangs up"" on file from linux 2.6",major
356,[Scalability]: Content Assist on windows.h takes 16 seconds,major
357,"Deselecting ""Use default Build command"" corrupts .project",major
358,Slew of exceptions in log while indexing during a search,major
359,[scalability]Too much memory used in a search,major
360,New class wizard NPE and does not adapt selection to ICElement,major
361,[Scalability] Indexing a large project prevents the managed build of a small project,major
362,[Scalability] UI Responsiveness very sluggish when editing large source files,major
364,[Scalability] Indexer bypassing filtering when project was closed and had no index,major
365,Search fails to find enum declaration,major
366,C Plugin prevents save of non-UTF-8 file,major
367,typedef in winnt.h do not parse,major
368,[Content Assist] Completion list presented inappropriately for dynamic_cast statement.,trivial
369,System Headers / RH9 / Index Failure,major
370,Can't install CDT under solaris,blocker
371,[Accessibility] The colour red is used to identify a change to a register value,minor
372,BuildConsole missing and .log fills up on missing org.eclipse.jface/resource/ResourceRegistry,major
373,Wrong class used for field,major
374,Preprocessor skipping doesn't ignore the contents of string literals,major
375,[Search] C/C++ Search not working because of Background Feature,blocker
376,[Update Manager] Cannot install CDT on Linux using Update Manager,major
377,Can't save anything....,major
378,Outline view stops on error on last line of  block,minor
379,"[Build]  Build menus are disable when ""build automatically"" flag is on",major
380,[Error Parser] Red X's not always displayed-> refresh problem in editor,major
381,Search fails to find variable definition,major
382,I could not save my file in CDT!,blocker
383,The auto-build operation causes CDT to hang when the Console view is not the top most view,blocker
385,Cannot create a Managed Project in AIX,blocker
386,"[Indexing] Search, etc. does not find moved files",major
390,Terminated processes never go away in console,major
392,Parse fails with typedef used as base,major
393,Search is slow due to file multiplication,major
394,[Content Assist] Requesting a completion list more then once when windows.h is included causes and out-of-memory error,major
395,class wizard fails to release working copies,major
396,DBCS: The <NLartifact>.exe can not run susccessfully in Debug view,major
397,DBCS:Can not compile DBCS C/C++ project name.,major
399,DBCS:Context search on System failed in C++ Search,major
400,Collapse All Icon different in Projects View and Navigator View,minor
401,Editor is not working with following c struct definition,major
403,[Content Assist] No completions when function argument is 'struct <struct_name>',major
404,Can't create a Managed Project,blocker
405,[Content Assist] No completions available when prefix has a bracket '(' in it.,major
406,[Binary Parser] Binary parsers do not work on  AIX,major
408,Error Parser Functionality,major
409,Cannot build after renaming a referenced project,major
410,[Refactoring] Subdirectories confuse refactoring,major
411,[Content Assist] No completion when declaring a struct variable,major
413,[C/C++ Projects View] The C/C++ Projects view displays duplicate projects,major
414,[ManagedBuild] Include Path list should be bigger...,major
415,BIDI: Arabic paths are not diplsyed in the Paths and Symbols tab,major
416,BIDI: Cannot build Arabic C++ projects,major
417,Cannot enable breakpoint in C++Project view for binary symbol,minor
418,C++ projects view displays binaries several times,minor
419,[Indexer] Background tasks not quiting when leaving Eclipse,major
420,DBCS: Can not launch DBCS C/C++ compiler path,major
422,[ManagedBuild] Build Process hanging if I removed source files from project,major
423,Duplication of files when adding  a class into a CDT Project,major
424,BIDI: Cannot add Arabic variables to the inspect view,major
425,"indicating wrong column on error: ""parse error before `*'""",minor
427,[Content Assist] Content Assist is impractical for simple Hello World program,major
430,Eclipse hangs when i open a file.,blocker
431,[Templates] Template class member definitions are instantiated too early,major
432,intermittent deadlock in running CDescriptor junit tests,major
433,Error message box when open with C Editor,major
436,[C/C++ Projects View] Cannot display source files after reopening a CDT project,major
437,Half of my saves do not invoke a build,major
439,Problem choosing executable in run dialog,minor
440,[Search] Search fails to consider files not opened in the editor,major
441,I18N: Cannot build a DBCS project name on Linux,critical
442,[Search] Big error when Searching view layout is set to Hierarchical,major
443,ctrl+l for entering line number is not working,major
445,[Search] Concurrent searches cause out of memory exceptions,major
446,"[ManagedBuild] After changing a header, dependent src files from another project does not get rebuilt.",major
447,[Search] Search results are not appearing in the Search view until search has completed,major
449,I can't save files in c++ project,blocker
450,Endless loop with memory allocation when parsing initializer clause,blocker
451,[Search] Closing the Search view mid search causes an error,major
452,[Syntax Highlighting] Header files are not highlighted properly in C++ projects,major
454,[C/C++ Projects View] Binaries folder disappears,major
455,[C/C++ Project View]  Project folders offset by 1 when displayed,major
456,[Error Parser]  No error markers show up beyond 1st directory level of project,major
457,[build] A managed project build gets kicked off when running a standard project.,major
458,Array declaration with unmatched braces causes out of memory,critical
459,"closing and opening a project causes ""null"" to appear in the makefile",major
460,BIDI: Cannot search for Arabic methods using the C/C++ search,major
461,[ScannerInfo]  Mechanism required to trigger discovery mechanism from content assist/selection search,major
462,[Parser] 100% CPU loading and high latency of interaction in the time of parsing c code,major
463,"""Save Failed"" on Samba share",blocker
464,[scalability] Can't open C/C++ editor repeatedly without running out of memory,major
465,"[Scanner] Macro expansion of ""#define a b(a)"" causes stack overflow",major
466,[CModelBuilder] Changing The Model to use the right parser,major
467,OutOfMemoryError during Search,critical
468,Type Cache too obtrusive,major
469,Can't use project dependencies when working in home directory,major
470,"""CreateLinkedResourceGroup"" labels on New Class Wizard",major
471,[Search] Sanity: Search is a lot slower (200405121551),major
472,[Content Assist] failure on iostream in Linux,major
473,[Scanner Config]: Scanner Config does not work on Windows,major
474,Managed Shared Library build fails,major
475,BIDI: Improper displayof Arabic file names in the Debug view,major
476,[Indexer] The indexer thread hangs if the project being indexed is deleted from the workspace,major
477,[Saving]  a cpp file after copying/renaming a function in front of a constructor locks Eclipse,major
478,[Content Assist] printf doesn't complete with MinGW and Managed Make,major
479,[Search] Search results rely on case of file names in include statement rather then the filesystem,major
480,[Refactoring] Offset causes refactoring to not work,major
481,[Scanner Config] CDT-specific file changes to .project are not saved,major
482,Clean rebuild cleans twice before build,minor
483,[Refactoring] Rename constructor should rename class name and destructor,major
484,"[Refactoring] When renaming destructor, it should not include the '~'",major
485,[Refactoring] Rename destructor should rename class name and its constructor,major
486,[Scanner Config] does not work with MakeTargets view,major
487,[I18N] Annotation problem markers require strings externalized,major
488,[Search] Search causes an out-of-memory error on Solaris,major
489,[CModel] ITranslationUnit.getElementAtOffset(i) does not factor in multiple namespace decl,major
490,[Refactoring] a template class does not refactor its constructor,major
492,[Search] Search syntax causes an exception,major
493,unable to instantiate editor,blocker
494,"Eclipse crashes when I start the  build through the ""make targets"" tab",critical
495,"Eclipse crashes when I start the  build through the ""make targets"" tab",critical
496,Ability to determine when the index is incomplete,major
497,"Autobuild on CDT always does ""clean"" first",critical
498,"Eclipse crashes when I start the  build through the ""make targets"" tab",critical
499,Eclipse crashes !,critical
500,[Search] Error with external search markers,major
501,[Search] Selection search does not work on overloaded functions,major
502,Type Cache seems to use a lot of memory,major
503,[Scanner Config] Path discovery should be on by default,major
504,[Scanner Config] Includes icon does not appear immediately,major
505,[ManagedBuild] Sanity:  Getting NPE after creating C or C++ Managed Project,blocker
506,CDescriptor/Indexer deadlock in JUnit,major
507,Bad labels (IncludeSymbolPathEntry) on Add Folder/File,major
509,[Refactoring] Rename a nested class does not work,major
510,Add New Path Container should be disabled if container exists,major
511,[Refactoring] Renaming a function not working on Motif...,major
512,NPE in BuildConsoleViewer when building std make project for the first time,major
513,NPE in CompleteParseASTFactory.createVariable,major
515,Can not create new C++ project,blocker
516,Can not create new C++ project on Eclipse 3.0,blocker
518,expanding tree during indexing causes stack overflow,critical
519,[Indexer]: The C/C++ Indexer gets regenearted everytime eclipse is restarted.,major
520,[Search] sanity:  Search not working on Selected Resources on Solaris only,major
523,[Scanner Config] Importing 1.2.1 project does not update properties,major
524,"Type Cache exception when creating a CDT project, refactoring, indexing, building, searching...",critical
526,[Content Assist] for stdio.h not working on HP and AIX,major
527,[Content Assist] NPE doing ^SPC with no prefix on HPUX,major
528,[Search]  sanity:  Out of Memory error on HPUX,major
529,[Class Browser] No refresh when deleting/adding a project or a namespace,major
530,[CModel] Duplicate namespace declarations in views when namespace defined twice in a file,major
531,[Templates] Premature incomplete template instance,major
532,Standard Build JUnit failures,major
534,CDT (I200405290301 on Eclipse 3M9) interferes with JDT,major
535,[Path Entry] Includes folder at the root of a CDT project not showing when discovery paths are available,major
536,[Parser] fails due to class/struct mismatch,major
537,Renaming a referenced project results in an exception.,major
538,[Path Entry] tab dialog showing up on Managed Project folders,major
539,Korean crashes when modifying resources,critical
541,UnManaged Projects - problem with backwards compatability,major
542,"[M9] Problem with project properties dialog, build command",major
543,Deadlock building project,major
544,CDT freezes eclipse when saving files,critical
545,[Indexer] Error in the log file if the project being indexed is deleted from the workspace with space in its path.,major
546,Opending declaration causes stack overflow,major
547,[Indexer] Manually add an include path to a file/folder is ignored by indexer,major
548,[Content Assist] [Parser] Content Assist when iostream.h is included fails if workspace path has a space,major
549,[Refactoring] Renaming a class does not change .cpp file.,major
551,[Indexer] Turned off indexer keeps restarting,major
552,cannot install CDT,blocker
553,[Debug] Cannot set breakpoint in the file before creating a new debug configuration.,major
554,[Indexer] Turned off indexer gets activated by a move,major
555,[Indexer] Zombie indexer tasks created,major
556,[SelectionSearch] Sanity: Giving 0 results after the first try,major
557,[Indexer] not kicked off after reopening a Managed Project,major
558,[Indexer] not displayed in Progress Bar after reopening a Standard Project,major
560,C++ new class wizard must accept Header / Body files default locations.,major
561,#include statement parser is case sensitive. Should not be.,major
562,Spurious error for Resource is not open,trivial
564,[ScannerConfig] ConcurrentModificationException during parallel build,major
566,[Indexer] getting called twice after creating a project with a file system,major
567,[I18N] - New Class Wizard does not take project encoding into account when creating files,major
568,Build Console dramatically slows down builds on Linux,major
569,137 Errors in junit tests with build CDT 200406180301,major
570,"In Standard Make mode, settings in C++ Make Project -> Make Builder tab do not save",major
571,inconsistent behaviour in evaluating expressions,major
572,[Doc}  Broken links in documentation,major
573,Save of static library build options fails,major
574,Source Folder Selection dialog is blank on Linux,major
575,Open Declaration into closed project causes PartInitException,major
576,[New Class Wizard] generated files not deleted,major
577,"[Path Entry] If workspace is under ""Program Files"", Include directory not showing",major
578,[Scanner] #if expression tokens remain in linked list,major
579,[Search]  Zombi Search processes left hanging,major
580,External include file has empty Outline View,major
581,"[Search] OutOfMemory, Incorrect offsets while searching",major
582,unable to start editor,blocker
583,Cannot debug due to SIGSEGV when starting debugging on HP-UX 11.11,blocker
584,CoreException after creating a Managed C project,major
585,SWTException: Widget is disposed from Source Folder Selection dialog,major
586,"CDT 2.0 M9, Project-properties: Changes not applied",blocker
587,SWTException from Include Paths & Symbols properties,major
588,[Parser] Callbacks can become unbalanced on errors,major
589,[Indexer] Cannot restart indexer by touching .c/.cpp/.cc files,major
590,"Unable to find full path for ""gcc""",major
591,Code Template is not working,major
592,Add Include / Open declaration is not Working,major
593,CDT does not start at all on 3.0 candidate v20040625,critical
594,NPE from BinarySearchThread,major
595,[Search]  AIX  sanity:  Internal Error doing Sanity Search Test case....,major
596,Exceptions while running Automated Test suites,major
597,Duplicate project when changing nature in the CView,major
599,C/C++ Browsing's Namespace does not find std globals,major
600,Invalid values in the Variables view,major
601,Correcting C/C++ Indexer problems causes 100% cpu usage,major
602,NPE in PathEntryManager.validatePathEntry while running JUnit tests,major
603,C/C++ indexer too slow,major
604,Can not use build targets from old CDT version (1.2.1),major
607,NPE in IndexerModelListener.processDelta,major
608,problem in running Automated test suite [debug.ui],major
609,Unable ot start gdb session on OS X 10.3.4,major
610,[Help Wanted] problem in Debugging C/C++ projects with Eclipse 3.0 on HP/UX,major
611,Make builder for Standard Make C/C++ project dont work.,major
612,[Content Assist] Constructor's argument,major
613,Syntax Highligthing for C++ files with extension *.C not working,major
614,ConcurrentModificationException while importing & building,major
617,Can not save project properties,major
618,[Indexer] Terminates with out of memory exception.,major
620,Get rid of External Search Links,major
622,[Parser] Indexer complains about va_list,major
623,[Parser] COMPLETION_PARSE takes 1 second longer than COMPLETE_PARSE,major
624,[Parser] revisit timeout strategy,major
625,"[C/C++ Class Wizard] Depending on Focus, C/C++ Class Wizard will not allowed to create a class...",major
626,Errors in running Automated Test Suite Cdt-Debug-Ui,major
627,"TVT3.0: ""Refresh"" in memory view is untranslated",major
628,"Hello World Cheat Sheet Titled ""Simple C++ Application""",trivial
629,[Class Browser Perspective] not finding some external classes,major
630,[C/C++ FIle Type] Some external file are not colour coded...,major
631,[Search] Zombi search left hanging when executing it after project was closed,major
632,[Scanner] Divide by zero expression in #if causes the parser to prematurely exit,major
633,TVT3.0: CDT debug views have english text,major
635,[Class Browser Perspective] NPE accessing an external member...,major
637,Environment is not being set through exec function,major
638,Java NullPointer exception in creating standard make project.,major
639,C/C++  Indexer Crash. and out of memory,blocker
640,Unable to build source files in a linked directory,major
642,C/C++ Project view does not refresh non-C elements till restart.,major
643,C/C++ Project view does not refresh non-C elements till restart.,major
644,can not make any code,blocker
645, -o should have space before argument in makefile,critical
646,Non-C Resources still show up in C/C++ Project View after deleting them from C/C++ Project view or Navigator view,major
648,C++ Classes with German characters does not show up in Class Wizard (In 'Base Class' List),major
649,TVT3.0: Duplicate entries in C/C++ preferences,major
650,"[Class Browser Perspective] not refreshed if members, class, etc is added/deleted in the code",major
651,Class Browser Hierarchy - Null Pointer Exception,major
652,*.C is not recognized as C++ files,minor
653,TVT3.0:  encoding problem in doc AAD016_cdt_w_basic01.htm,major
654,TVT3.0:   English ''Find Refs'' etc in Workbench's Key > C/C++ Source preferences.,major
655,internal SWT error crashing Workbench,major
656,C/C++ make project page bug,major
657,[Parser] Error handling after bad using declaration too extreme,major
658,[Indexer] Double Indexing is back...,major
659,[ManagedBuild] Weird Output:  Exception when build Sort project,major
660,TVT3.0:  Error creating memory view in C/C++ debug,critical
661,Comment syntax highlighting wrong in files with non-standard extensions,minor
663,[Indexer] all headers get indexed on project open,major
664,[Scanner] CModel Line Numbers are incorrect w/Scanner2,major
665,CDT tutorials not clear how to move between pages,minor
667,[Parser] Parser in infinite loop (ExpressionParser.errorHandling()),major
668,[Content Assist]Cannot get malloc to complete on a c project,major
669,Documentation for converting CDT 1.x projects -> CDT 2.0 projects,major
670,type array are reversed,critical
671,Project source excludes does not work,major
672,[IProblem] Duplicate IProblems discovered,major
673,CDT Tutorials on website not showing images,major
674,[Scanner] Exit Inclusion occurs too soon,major
676,[Parser] [Variant] Content Assistant terminates eclipse (Visual Age),major
679,[Content Assist] Argument list popup does not referesh correctly,minor
680,[Content Assist] Methods with implicit return value not listed in certain completion lists,minor
681,Cannot Start Debugger: Debug Button Permanently Grayed Out : Was #71988,blocker
682,[Scanner] Macro expansion issues w/Scanner2,major
683,[Parser] environment macros with pararmeters are not respected by the parser,major
684,[Parser] Timeout strategy does not affect scanner infinite loops,major
687,[Refactoring] Renaming attribute renames the argument in member initialization list,major
688,[Search] Search for references of pure virtual method yields no results,major
689,"[Search] Search actions in ""magic"" include files do not work.",major
690,[Performance] [Scalability] [Indexer/Search] Indexer needs to keep in mind external markers preference,major
691,[Search] Search results in flat layout not sorted,major
692,C/C++ Projects view can not refresh  C/C++ projects correctly,major
693,[Search] Search takes long time to cancel,major
