,summary,severity
352,"mozilla/mail/Makefile - ""config"" dir doesn't get built on Solaris",major
353,[Aviary] Starting with a blank window after packaging thunderbird.,blocker
354,"When upgrading to 0.7, problems not finding the 0.6 profile on OS X",blocker
355,If Thunderbird has more then one profile Firefox can't be started by clicking a hyperlink,major
356,"Mac OS X ""Version"" should be © 2004, not 2003",trivial
358,Thunderbird 0.7 won't start on the mac.,critical
359,Setup of Thunderbird 0.7 seems to be Setup of Firefox 0.8 | setup downloaded at 21.06.2004 20:32,blocker
360,MIME 1.0 multipart text/plain message displays nothing in text window; message unreadable,major
362,Does not start when installed by admin account and accessed by user account.,major
365,"read mail window titlebar says ""null - Mozilla Thunderbird"" if message has no subject",trivial
366,The contrast of the text input column is bad at Advanced Address Book Search.,minor
367,Application Icon (Dock Icon) reverts to previous icon,trivial
368,cannot change colors of text when composing email,major
370,There's no source code provided for thunderbird 0.7.1,blocker
371,"reply to all, remove some (but not all) recipients, send results in ""please specify a recipient""",major
372,Error message appears when trying to forward an e-mail with attachments and mail is not delivered,major
373,"when filters move incoming messages, source folder highlighted improperly",minor
374,hang on startup after upgrading to 0.7.1,critical
376,Thunderbird crashes on startup,critical
378,TB README.txt and LICENSE.txt use Linefeed istead of Carriage Return/Linefeed (LF instead of CRLF),trivial
380,Return Receipt prompt should not use OK/Canel,trivial
381,Crash if cancel twice when saving attachment,critical
382,TB 0.7.1 crash when connecting to SSL POP3 servers using secure connection feature,critical
383,autocomplete turn off,major
386,Empty trash on exit.,minor
389,Thunderbird will not start if profile.ini contains a profile not named default.xxx,critical
390,menu error,critical
393,OS X UI issues with new quick search box (text overflows text box),trivial
394,[wmp] Crash when opening an email with an <embed> tag [@ @0x00000000 - nsPluginHostImpl::GetPluginFactory ],critical
396,"No tooltip for ""From:"" in collapsed/brief header if sender isn't in Address Book",minor
398,Mozilla throws exception which IE don't catch thus IE crashes,critical
399,selecting a message and then sorting causes the selected item to go off-screen,minor
400,TB07x Crash when doing multiple advanced address book searches [@ nsAbView::GetCardValue][@ nsAbView::Init],critical
401,Extension/Theme Managers Broken,blocker
404,crash if I try to delete a profile in the Choose User Profile window to start TB,critical
405,"when previewing a specific spam message, browser opens and Thunderbird crashes",critical
406,latest nightly build is completely unusable after install,blocker
407,Persistent JavaScript Error: GetThreadTree is not defined,minor
409,Cannot launch Thunderbird ; a lot of xul errors when starting.,blocker
410,"Upon installing Thunderbird 0.7.2, it will not open as a task, but as a process.",critical
412,Thunderbird fails to start,blocker
413,Thunderbird keeps asking for password,major
414,Junk folder placed alphabetically with user folders rather than up with TBird folders,minor
417,crash while accessing some messages of the RSS fead via nntp//rss [@ nsMsgContentPolicy::ShouldLoad ],critical
418,"I can send and recieve mail to myself, but cannot send to anyone else,  I can recieve all email",major
419,"compose window doesn't remember the size of ""contacts"" panel",minor
420,thunderbird window does not load completely,blocker
421,gecko error when trying to run,critical
423,compose when in newsgroup crash,critical
424,crash when reading the attached message,critical
425,extension installation fails on trunk; branch unaffected,blocker
426,(ldap) auto complete address list popup doesn't close when hitting tab too fast,minor
427,Thunderbird nightlies default to local folders on IMAP account,major
428,ISP RDF functionality broken,major
429,QP without final newline display problems,minor
431,crash when saving a draft with attachment,critical
432,mail crashes after changing criteria when searching,critical
433,mail crashed,critical
434,"Empty subjects, wrong message dates and all headers appearing in mail body when connecting to IMAP/SSL on Linux",major
436,"Some HTML-messages are viewed as plain text, even though I've selected HTML",minor
437,TB09 crashes when using a symlink to a signature file [@ nsLocalFile::SetRelativeDescriptor],critical
438,mail/app/Makefile.in DESTDIR typo lets 'make install DESTDIR=/tmp/somedir/' fail,major
439,crash in print preview with blocked remote images,critical
440,notification windows do not disappear in Win XP SP2,major
441,Switching Folders Causes Huge Header-View,minor
443,Attachment icons are wrong,minor
444,English spellchecker should not attempt to check words in non-English alphabets.,trivial
446,big space under status bar,trivial
448,Crash when opening HTML message which contains <object> tag,critical
449,"Crashes when clicking on ""Edit as new"" - TB09 [@ nsTimerImpl::ReleaseCallback ]",critical
451,deleting profile in profile manager causes crash,critical
452,Talkback is missing from the Mac version of Thunderbird 0.7.3 release.,critical
453,crash running filter on an IMAP folder [@ nsImapMailFolder::MarkMessagesRead ],critical
455,Change in Recognition of Single Unsent Messages Folder,minor
456,Searching for message body in newsgroup brings up unwanted popup,major
457,HKLM\Software\Clients\Mail\Mozilla Thunderbird uses unquoted values for the application path,major
460,"Title bar only window, 1 inch wide, with close button only",trivial
461,Messages do not display in preview pane or message window,major
462,TB08 FF10PR1 crash [@ nsViewManager::DispatchEvent],critical
463,change wording of Recheck Page button in spell checker,trivial
464,TB07x crash searching mail messages [@ nsHTMLEditRules::WillInsertText],critical
466,offline settings not available,major
467,Thunderbird freezes during spell check.,critical
469,Edit as new on unsent message always uses plain text editor,minor
471,Syntax error in xul template when trying to add a new imap folder,major
472,Setting a Flag/Star with the context menu causes the Mark|Flagged checkmark to persist incorrectly,minor
473,Mail notification and IMAP,major
475,TB will not authenticate with POP3 server -since 20040824,major
477,Mail Start Page ignores character setting,major
478,"crash when the compose window open with the ""from"" input being a an account using ""global inbox""",critical
479,"Crash when using Advenced func. in Address Book, and search after a Nickname using any letter there's not present in a nickname",critical
480,it doesn't build if a patch isn't applied on nsProfileMigrator.cpp,blocker
481,It tries to build Dogbert for BeOS and it's not needed,blocker
482,it doesn't build if a patch isn't applied at nsModule.cpp,blocker
485,"6 accts, 1 window, w/s 29.8MB, disk 40.9MB, total 70.7MB -- unacceptable",major
486,unable to start the freshly installed Thunderbird 0.8.,critical
487,crash if I start Thunderbird after Deinstall of Thunderbird 0.7.3 and Install of Thunderbird 0.8,blocker
490,Installer wizard has graphic artifact,trivial
491,"TB09 crash with ""Mark Newsgroup Read""  [@ nsMsgKeySet::AddRange]",critical
493,Name of Signature file causes crash,critical
495,V-Cards (vcf attachments) display the paperclip attachment icon resulting in an inability to tell which messages have real attachments,minor
496,newly created IMAP filter moves ALL messages in current folder irrespectively,major
497,crash after searching for addresses and deleting all found addresses,critical
498,Repeated items in messenger.dtd and extension.dtd files,minor
499,"On upgrade to 0.8 from 0.7.3 hangs with ""Building summary file for inbox..."" on load",critical
502,Unread flag remains on parent folder if child folder with unread messages is dragged elsewhere.,minor
503,copy mail to sent folder on imap-ssl fails often if smtp is also ssl based,major
505,"when changing a URl in a new message, only the text is modified and not the actual hyperlink",major
506,shift-tab in compose window only tabs between visible items in address list,minor
507,Enable/disable message filter makes filter list jump to the top of the list,minor
509,Movemail account doesn't get some messages,major
511,Crash when viewing a particular email message,critical
512,"""Opening file"" dialog could use more precise instructions",trivial
513,Browser  crashes on complicated  mailto link,critical
515,Cannot Install Nightly Due to Installer Error,blocker
516,missing leading slash in comment,trivial
518,Signature doesn't work when sig file ends with extention of .sig,minor
519,View->Threads->(any option) gives focus to search field,minor
520,Mail dissapears when local folder is marked as read,major
521,string truncation under options,trivial
522,"thunderbird doesn't handle xremote requests correctly, crash if tbird already running",critical
523,"F6 does not work after ""select all"" and delete",minor
524,"""Copies and Folder"" settings not correct",major
525,Crash when attach a php file,critical
526,POP3 mail duplicates with Leave Messages on Server - Only on one account from 3!,major
527,mail/components/compose/content/abCommon.js is unused,trivial
528,after automatic folder compaction cursor changes to dragging (folder?),minor
529,Thunderbird display is awfully broken with a XUL error box,blocker
530,Crash if I label a message in a virtual folder,critical
532,typo in messenger-mapi/mapi.properties,trivial
534,problems with official thunderbird branding icon for locale start page,blocker
536,More DTD errors in Thunderbird,blocker
538,Sent emails not showing up in sent folder.,major
539,Clicking several categories rapidly crashes Thunderbird,critical
542,Security risk: TB uses IE to open javascript pop-up in news-feed items,major
544,"Crashes when ""Grouped By Sort"" is selected and sort criteria is changed to ""Order recieved""",critical
545,"Group by sort feature with sort by ""Date"" uses ""Old Mail"" in RSS folders and newsgroup",minor
547,"""There are no new messages on the server"" in status bar after automatic download with setttings ""Fetch headers only"", ""Leave messages on server""",minor
548,Failed to build thunderbird on solaris sparc platform,blocker
549,Templates deleted after sending,major
550,Cannot launch/open attachment after move/update of application because OK button remains disabled,minor
551,crash when dragging a virtual folder into another local folder [@,critical
554,View Source produces XML Parse Error in viewSource.xul,major
555,Thunderbird crashes if the email contains a mailbox:// URL,critical
556,password not remembered when messages are fetched automatically,major
558,Messages have the wrong title with IMAP,major
560,Changing View Layout does not preserve the mail message encoding,minor
561,message deleted when downloading the rest of a large message,critical
563,Grouped by sort by sender doesn't group messages where the sender's name differs by quotedness,minor
565,"TB ""hangs"" when downloading a large number of news headers",critical
566,"Stoped getting pop3 mail, no error, just writes """"Building summary file for inbox..""",major
567,"After moving message to junk folder, next message is not highlighted",minor
568,"""Contacts"" button doesn't stay pushed (or down)",trivial
569,"Change text from ""blocked image"" to ""blocked content""",trivial
571,Mouse scroll is not functional in font combo of compose mail window.,minor
572,"When pasting ""large"" list of addresses into composer or mailing list fields, Thunderbird crashes",critical
573,thunderbird cvs fails to compile owing to lack of nsICmdLineService.h,blocker
575,timeout if message was sended through SMTP-server with TLS encryption.,major
576,Address Label menulist (To/CC/BCC) doesn't handle keys if closed,minor
577,Emptying mail folders does not affect mail folder file,major
578,resizing body area of compose window grays out body area,minor
579,Group By confused with mails from the future,minor
580,The first list entry is always selected from the dropdown box,minor
582,TB09 Crash when quitting Thunderbird [@ nsMsgDatabase::~nsMsgDatabase],critical
583,Thunderbird doesn't display watched / ignored thread icons,major
585,"Strange behaviour of ""read"" check for group header",minor
587,After updating from 0.8 to 0.9 Thunderbird doesn't work (look at the screenshot),major
588,[Mac] cannot compose or reply,blocker
589,"Order of messages within groups always by Date, Ascending",minor
591,"IMAP subscribed folders forget ""Check this folder for new messages"" setting when Thunderbird quits",major
592,Thunderbird 0.9 source code tarbarll is not available in ftp.mozilla.org,blocker
593,folder with enabled 'grouped by sort' forgets opened branches e.g. yesterday; on folder reopen tree is always collapsed,minor
595,Keyboard nav to Next message in another (RSS) folder from a Grouped folder: target message is not properly selected,minor
596,Thunderbird only shows the first and last  X-header with a duplicate name,major
597,"Mail imported from Mozilla 1.x dumps messages in wrong mailboxes, when multiple accounts on same mail server",major
598,[regression] auto fetching messages every XX minutes broken in TB 0.9,major
601,"Junk mail not always moved to Junk folder, left in Inbox instead",major
604,Inbox e-mails show up without password,major
605,TB always starts with HTML email even when setting say the contrary,major
606,Scrolling recipients when using the mouse scroll wheel in the subject input field,minor
607,when global inbox feature is used sometimes sent mail is not saved in sent folder,major
608,Drag and drop of mailing list in the recipients section gives a bad address,minor
609,Virtual Folders always sort first by location upon opening folder,minor
610,rowspan attribute in emial table creation results in too many columns <TD>,minor
613,About dialog does not pop up when calendar has it's about window open,trivial
615,program goes into a warn loop when trying get new mail on server that only allows requests every XX minutes,major
617,going from tbird 0.8 -> 0.9 or 1.0 hangs with huge POP mail folders,critical
620,TB09 crash importing Outlook Express settings [@ nsOEProfileMigrator::Notify],critical
621,Problem with multiple accounts sharing a single SMTP server,major
623,Display '.eml' message empty if account node is selected in Folder pane,minor
625,"The ""Default Port"" changes to the currently used port....",minor
626,Composition options interpret line-wrap length in octal format if leading-zero used,minor
628,Remove the UI/Hide App Update for Tbird 1.0,major
629,"filter dialog suggests filters do work on local folders, which isn't always the case",major
630,TB09 crash after importing Mozilla 1.x profiles [@ nsPop3GetMailChainer::GetNewMailForServers],critical
632,First launch account creation doesn't honor unchecking [ ] Download messages now option,major
633,"On shutdown, Saving draft of compose window prevents shutdown",minor
635,inconsistent behaviour when moving messages to a folder that has a message filter on it,major
636,Creating message filter on content-type doesn't work after restart of thunderbird,major
637,Thunderbird on linux has old envelope icon window title bar and in the taskbar,trivial
638,crash at [@ nsFolderCompactState::ShowDoneStatus] when compacting folders,critical
639,crash compacting folders with [@ nsFolderCompactState::FinishCompact],critical
642,crash when attempting to mark a newsgroup as Read,critical
643,The Junk control tabs should be reversed to have overall adaptive filter control tab first then the settings,minor
645,Endless status spinning when checking for articles on an empty News & Blogs account,minor
646,migration from seamonkey doesn't bring newsgroup download count,minor
647,No way to mass-change email addresses from CC to TO,minor
649,Account's New flag doesn't appear if click new mail alert,minor
652,Mac Pinstripe theme doesn't display focus for message grouping,major
653,"UI inconsistancy for ""Check new messages every X minutes"" textfield",trivial
654,TB nightly 12/01/04 comes up blank (/thunderbird/nightly/latest-trunk only),blocker
655,quicksearch field in Contacts sidebar missing close button,trivial
658,Multi-source virtual folder view becomes empty when View->Threads->All is selected,minor
659,can not open multiple html attachements at same time,major
660,"Thunderbird is extremely slow under windows XP, taking 4 seconds processor time to open a newly arrived message (2.8GHz, 512 Mb RAM)",major
661,Thunderbird doesn't handle screen resolution changes,minor
664,pressing enter to read multiple selected messages causes crash in .9 and earlier,critical
665,Settings in Copies & Folders not saved,major
666,Thread pane context menu (group): disabled item becomes enabled on hover,minor
667,local directory is not displayed at the account setting dialog,major
669,IMAP status bar incorrect after compact with offline support enabled,minor
670,Can't download emails with large attachment,major
671,View Header Setting Not Sticking,major
672,messages with the same subject are groupped in one thread,major
673,Crash when selecting inbox after selecting saved search folder before search complete [@ 0x00000000 - nsMsgSearchSession::NotifyListenersDone],critical
674,Sending file from MS Office (Excel/Powerpoint/Access) changes original filename [attaches file with random name and extension .tmp],major
675,No extensions displayed although installed,major
676,"""Restore Default Set"" of a customize tool bar works only a part.",minor
677,Incorrect MIME type associated with MS-Excel (.xls) files when attached to a message,major
678,Attachment icon displayed for multipart/mixed with just one part (body),minor
679,Thunderbird displays irrelevant message after deleting junk mail,minor
680,"""About Thunderbird"" dialog has useless ""hide toolbar"" button",trivial
682,Replace [buttondown] and [buttonover] rules for some buttons of _ThunderBird_ to work using :active and :hover rules,trivial
684,Thunderbird 1.0 - msgFilterRules.dat isn't written to if session ends before filter management dialog is opened/closed.,major
686,[PATCH] Error when opening compose window,major
687,"In a Saved Search folder, manually marked Junk mail is not moved/deleted",minor
688,saving to imap stored drafts folder while offline does not work,major
689,Error in Filters Run,major
690,Thunderbird will not open,blocker
691,Closing thunderbird crashes it [@ nsMsgAccountManager::getServersToArray],critical
694,Multiple copies appear in message listing when message grouping is turned on,major
696,resizing 'Card Summary Pane' in Address Book leads to search field's truncation/disappearance,minor
697,copy & move of read files results in email disappearing,critical
698,Freeze when trying to download/delete large IMAP messages,critical
699,New mail icon remains when filters have marked all new mail as read,minor
